Source,District,Recipient,Award ID,Latest Modification Number,Latest Modification Date,Start Date,End Date,Award Amount,Total Outlays,Description,Business Categories,URL
DOGE,WV-02,"A3L Federal Works,Llc",80GSFC24CA024,P00009,2025-06-24,2024-07-08,2026-07-07,681288.51,402883.34,"Status: TERMINATED. Reported savings: $1,423,496.00. DOGE Action Date: 4/14/2025. Knowledge management, events and communications supports (KMECS) ivv contract","8(a) Program Participant, Category Business, HUBZone Firm, Limited Liability Corporation, Self-Certified Small Disadvantaged Business, Small Business, Sole Proprietorship, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-/
NASAGrants,DC-98,American University,80NSSC23M0024,P00003,2025-04-21,2023-01-26,,198655.21,197381.55,"Approved/ Awarded - Administrative | Administrative - Decrease, Administrative - Change Pop End Date. Modeling of exoplanet atmospheres and climates",Nonprofit Organization,https://www.usaspending.gov/award/ASST_NON_80NSSC23M0024_8000/
DOGE,MD-06,Autonomic Integra LLC,80GSFC23CA041,P00021,2025-06-27,2023-03-01,2026-02-28,10763422.47,8190416.73,"Status: FUNDING ONLY ACTION. Reported savings: $21,134,122.00. DOGE Action Date: 3/20/2025. The purpose of this contract is to acquire scientific support and related services for the giss facility in new york city, ny.","Category Business, Limited Liability Corporation, Minority Owned Business, Partnership or Limited Liability Partnership, SBA Certified 8 a Joint Venture, Self-Certified Small Disadvantaged Business, Small Business, Special Designations, Indian (Subcontinent) American Owned Business, U.S.-Owned Business",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-/
DOGE,MD-05,"B/W Color Prints, LLC",80NSSC25FA145,P00001,2025-06-27,2025-01-14,2025-03-31,10771.0,10771.0,Status: Expired. Reported savings: $0. DOGE Action Date: 3/20/2025. Printing services for inspire/strategic communications,"Category Business, Limited Liability Corporation, Small Business, Special Designations, U.S.-Owned Business",https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA145_8000_GS07F216BA_4732/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0071,P00001,2025-03-20,2024-08-01,2025-01-22,82838.19,48728.3,"Status: Expired. Reported savings: $82,838.00. DOGE Action Date: 3/20/2025. The project aims to enhance administrative operations and optimize efficiency within odeo by leveraging the expertise of an administrative operations specialist.","Category Business, Partnership or Limited Liability Partnership, Small Business, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0071_8000_80MSFC21D0009_8000/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0074,P00001,2025-03-20,2024-08-01,2025-01-22,82838.19,55355.35,"Status: Expired. Reported savings: $82,838.00. DOGE Action Date: 3/20/2025. Will be responsible for overseeing and managing the successful execution of special projects","Category Business, Partnership or Limited Liability Partnership, Small Business, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0074_8000_80MSFC21D0009_8000/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0070,P00001,2025-03-20,2024-08-01,2025-01-22,112312.76,66066.3,"Status: Expired. Reported savings: $122,313.00. DOGE Action Date: 3/20/2025. Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)","Category Business, Partnership or Limited Liability Partnership, Small Business, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0070_8000_80MSFC21D0009_8000/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0046,P00002,2025-03-20,2024-04-16,2025-01-22,226082.84,159773.67,"Status: Expired. Reported savings: $261,854.00. DOGE Action Date: 3/20/2025. Strategic planning, analysis, and programmatic support for.planetary sciences division.hq science mission directorate","Category Business, Partnership or Limited Liability Partnership, Small Business, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0046_8000_80MSFC21D0009_8000/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0073,P00001,2025-03-21,2024-08-05,2025-03-21,74496.9,16699.75,"Status: Expired. Reported savings: $74,497.00. DOGE Action Date: 3/20/2025. Provide primary integration and administrative support to the esdmd moon to mars (M2M) program planning & control (PP&C) office","Category Business, Partnership or Limited Liability Partnership, Small Business, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0073_8000_80MSFC21D0009_8000/
DOGE,TX-36,"Barrios Technology, LLC",80HQTR24F0064,P00003,2025-03-21,2024-06-24,2025-03-21,129377.08,67501.08,"Status: Expired. Reported savings: $129,377.00. DOGE Action Date: 3/20/2025. Coordinate and support the utilization of msds risk management plan and agency procedural documents and provide analysis and recommendation support to assist with msd risk management.","Category Business, Partnership or Limited Liability Partnership, Small Business, Special Designations, U.S.-Owned Business, Woman Owned Business, Women Owned Small Business",https://www.usaspending.gov/award/CONT_AWD_80HQTR24F0064_8000_80MSFC21D0009_8000/
