Source,Recipient Congressional District,Recipient Name,Award ID,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Start Date,Current End Date,End Date Basis,Initial Reported End Date,Current Obligated Amount,Total Outlays,Award or Action Description,Primary Detection Method,Detection Evidence,Recipient Business Categories,USAspending URL,Claimed By,DOGE Claimed Status,DOGE Claimed Savings,DOGE Claim Date
DOGE,WV-02,"A3l Federal Works,llc",80GSFC24CA024,P00013,,,2024-07-02,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-06-18,P00007,2025-04-08,,,2024-07-08,2027-01-06,period_of_performance,2025-07-07,1007597.51,820237.05,"Status: TERMINATED. Reported savings: $1,423,496.00. DOGE Action Date: 4/14/2025. Knowledge management, events and communications supports (KMECS) ivv contract",external_claim,TERMINATED,"8a_program_participant, category_business, corporate_entity_not_tax_exempt, economically_disadvantaged_women_owned_small_business, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, sole_proprietorship, special_designations, us_owned_business, woman_owned_business, women_owned_small_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC24CA024_8000_-NONE-_-NONE-/,DOGE,TERMINATED,1423496.0,4/14/2025
USAspending Terminations,TX-37,Aantilia LLC,80NSSC26P0289,P00001,,,2026-03-02,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-05-04,P00001,2026-05-04,,,2026-03-02,2026-05-04,period_of_performance,2026-05-25,0.00,0.00,INSTRUMENT & LAB EQPT - 16 INCH DIAMETER FLAT MIRROR,termination_action_code,Terminate-for-convenience action P00001 on 2026-05-04,"category_business, corporate_entity_not_tax_exempt, limited_liability_corporation, self_certified_small_disadvanted_business, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80NSSC26P0289_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,CA-34,"Aecom Technical Services, Inc.",80KSC020D0016,P00007,C,FUNDING ONLY ACTION,2020-09-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-08,P00007,2025-04-08,,,2020-09-25,2025-09-24,idv_last_date_to_order,2025-09-24,0.00,,"TERMINATION FOR CONVENIENCE (COMPLETE) - PROFESSIONAL CIVIL DESIGN SERVICES AT KENNEDY SPACE CENTER (KSC), AND VARIOUS NASA LOCATIONS, ASSETS, LAUNCH OR LANDING SITES WORLDWIDE.",termination_action_code,Terminate-for-convenience action P00007 on 2025-04-08,"category_business, corporate_entity_not_tax_exempt, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80KSC020D0016_8000/,,,,
USAspending Terminations,VA-11,Airbus Ds Geo Inc.,80HQTR21AA001,P00004,,,2021-07-29,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-11,P00004,2025-03-11,,,2021-07-29,2025-03-11,idv_last_date_to_order,2026-07-28,0.00,,CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP)THE CONTRACTOR SHALL BE RESPONSIBLE FOR DELIVERY OF A COMPREHENSIVE CATALOGUE OF THE SYNTHETIC APERTURE RADAR (SAR) EARTH OBSERVATION DATA PRODUCTS.,termination_action_code,Terminate-for-convenience action P00004 on 2025-03-11,"category_business, corporate_entity_not_tax_exempt, foreign_owned, foreign_owned_and_us_located_business, other_than_small_business, special_designations",https://www.usaspending.gov/award/CONT_IDV_80HQTR21AA001_8000/,,,,
NASA Procurement Data View,DC-98,American Geophysical Union,80NSSC22K0223,P00006,A,NEW,2022-02-01,D,ADJUSTMENT TO COMPLETED PROJECT,2025-08-27,,,P00006,2025-08-27,2021-11-09,2025-05-09,period_of_performance,2023-11-08,1414711.87,1414711.87,"TERMINATION FOR CONVENIENCE AGREEMENT - AGU, AAS, ASGSR TO NASA: SUPPORTING EARLY CAREER RESEARCHERS POST PANDEMIC - SUPPORT FOR SMD DIRECTORATE",description_keyword,,"category_business, minority_owned_business, nonprofit, other_minority_owned_business, other_than_small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/ASST_NON_80NSSC22K0223_080/,,,,
USAspending Terminations,NM-01,Apache Innovations Jv,80GRC025CA013,P00002,,,2025-01-23,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-06-15,P00002,2026-06-15,,,2025-02-17,2027-03-31,period_of_performance,,0.00,,"REMOVAL OF DRD IAW EO #14222 - GLENN LOGISTICS AND METROLOGY (GLAM) - THE PURPOSE OF THIS CONTRACT IS TO PROVIDE LOGISTICS SERVICES, STOCK PURCHASES, AND METROLOGY/CALIBRATION SERVICES TO NASA GRC. SUPPORT TO ALL DIRECTORATES AT NASA GRC.",termination_action_code,Terminate-for-convenience action P00002 on 2026-06-15,"category_business, minority_owned_business, native_american_owned_business, partnership_or_limited_liability_partnership, self_certified_small_disadvanted_business, small_business, special_designations, tribally_owned_firm, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-/,,,,
USAspending Terminations,WI-07,"Applied Fab & Machining, Inc.",80GRC022AA005,P00002,,,2022-08-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT)",termination_action_code,Terminate-for-convenience action P00002 on 2025-04-15,"category_business, corporate_entity_not_tax_exempt, manufacturer_of_goods, service_disabled_veteran_owned_business, small_business, special_designations, subchapter_s_corporation, us_owned_business, veteran_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA005_8000/,,,,
USAspending Terminations,VA-11,Ares Technical Services Corporation,80GSFC25P0001,P00001,,,2025-04-08,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-09-24,P00001,2025-09-24,,,2025-04-08,2025-05-31,period_of_performance,2025-05-31,0.00,0.00,"SMAS III PHASE-IN - SUPPORTS DEVELOPMENT OF SAFETY AND MISSION ASSURANCE REQUIREMENTS AND THE INDEPENDENT SURVEILLANCE, AUDIT, REVIEW AND ASSESSMENT OF DESIGN, DEVELOPMENT, TEST, AND MISSION OPERATIONS ACTIVITIES.",termination_action_code,Terminate-for-convenience action P00001 on 2025-09-24,"category_business, corporate_entity_not_tax_exempt, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC25P0001_8000_-NONE-_-NONE-/,,,,
DOGE,MD-06,Autonomic Integra LLC,80GSFC23CA041,P00028,,,2023-02-14,C,FUNDING ONLY ACTION,2026-06-12,,,,,2023-03-01,2027-02-28,period_of_performance,2024-02-29,14272022.47,11685239.76,"Status: FUNDING ONLY ACTION. Reported savings: $21,134,122.00. DOGE Action Date: 3/20/2025. The purpose of this contract is to acquire scientific support and related services for the giss facility in new york city, ny.",external_claim,FUNDING ONLY ACTION,"category_business, dot_certified_disadvantaged_business_enterprise, limited_liability_corporation, minority_owned_business, partnership_or_limited_liability_partnership, sba_certified_8a_joint_venture, self_certified_small_disadvanted_business, small_business, special_designations, subcontinent_asian_indian_american_owned_business, us_owned_business",https://www.usaspending.gov/award/CONT_AWD_80GSFC23CA041_8000_-NONE-_-NONE-/,DOGE,FUNDING ONLY ACTION,21134122.0,3/20/2025
USAspending Terminations,TX-18,"Axial Global, LLC.",80GRC022AA006,P00002,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2022-08-22,2025-04-15,idv_last_date_to_order,2027-05-31,0.00,,"TERMINATION FOR CONVENIENCE - NASA GLENN RESEARCH CENTER BLANKET PURCHASE AGREEMENT. EACH ORDER MAY INCLUDE, BUT IS NOT LIMITED TO, MACHINING, FABRICATION, WELDING/METAL JOINING, INSTRUMENTATION, INSPECTION AND NON-DESTRUCTIVE TESTING (NDT).",termination_action_code,Terminate-for-convenience action P00002 on 2025-04-15,"category_business, manufacturer_of_goods, partnership_or_limited_liability_partnership, small_business, special_designations, us_owned_business",https://www.usaspending.gov/award/CONT_IDV_80GRC022AA006_8000/,,,,
