Award ID,source_type,recipient,value,savings,status,source_url,description,agency
80LARC24F0039,Contract,the Aerospace Corporation,162533.0,162533.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80LARC24F0039&modNumber=P00001&idvAgencyID=&idvPIID=80GSFC19D0011&contractType=AWARD,"Status: TERMINATED. Reported savings: $162,533.00. DOGE Action Date: 7/1/2025. Space applied research: guide future human-rated spacecraft fire safety system, NASA engineering and safety center's team",National Aeronautics and Space Administration
80NSSC25FA315,Contract,"National Quality Assurance - U.S.A., Inc.",28832.0,28832.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25FA315&modNumber=P00001&idvAgencyID=&idvPIID=80NSSC24AA005&contractType=AWARD,"Status: TERMINATED. Reported savings: $28,832.00. DOGE Action Date: 6/30/2025. Administrative management and general management consulting services: as9100 audit at armstrong flight research center, national aeronautics and space administration",National Aeronautics and Space Administration
80NSSC24PC475,Contract,Zuken Usa INC,44325.0,44325.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC475&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"Status: TERMINATED. Reported savings: $44,325.00. DOGE Action Date: 6/27/2025. Zuken electrical design data management software (DS.E3) license, data and configuration management",National Aeronautics and Space Administration
80LARC25F7003,Contract,the Aerospace Corporation,42518.0,42518.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80LARC25F7003&modNumber=P00001&idvAgencyID=&idvPIID=80GSFC19D0011&contractType=AWARD,"Status: TERMINATED. Reported savings: $42,518.00. DOGE Action Date: 5/15/2025. NASA engineering and safety center's (NESC) environmental control and life support (ECLSS) technical discipline team (TDT), provides technical expertise for resolution of issues related to vehicle and spacesuit environmental control.",National Aeronautics and Space Administration
80NSSC23F0002,Contract,"Four Points Technology, L.L.C.",19212.13,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23F0002&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD22B&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Securid authenticator tokens,National Aeronautics and Space Administration
80NSSC24FA558,Contract,"Three Wire Systems, LLC",17400.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24FA558&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD25B&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Stor- one software renewal,National Aeronautics and Space Administration
80NSSC25FA078,Contract,"Colossal Contracting, LLC",16200.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25FA078&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD72B&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Prisma cloud security renewal,National Aeronautics and Space Administration
80NSSC25PA641,Contract,"Messe Dusseldorf North America, Inc.",15200.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25PA641&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Booth space for NASA at association for unmanned/uncrewed vehicle systems international 2025,National Aeronautics and Space Administration
80NSSC25PA014,Contract,Space Exploration Technologies Corp,19038.4,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25PA014&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Aspire public-private talent program, spacex immersion",National Aeronautics and Space Administration
80NSSC24PC363,Contract,Qualcomm Technologies INC,6000.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC363&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Qualcomm 5g learning - four subscriptions,National Aeronautics and Space Administration
80NSSC24PC064,Contract,the Jandor Group LLC,100000.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC064&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Training,National Aeronautics and Space Administration
80NSSC24PB891,Contract,"Career Communications Group, Inc.",12500.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PB891&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Women of color in science, technology, engineering, and mathematics silver partnership and participation in their national convention",National Aeronautics and Space Administration
80NSSC24PB717,Contract,"Costar Realty Information, Inc.",49050.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PB717&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Web search portals and all other information services: costar,National Aeronautics and Space Administration
80NSSC24PA660,Contract,"Lmi Consulting, LLC",42878.06,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PA660&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/6/2025. Bridge program retreat,National Aeronautics and Space Administration
80NSSC23FA528,Contract,Ibex It Business Experts LLC,214134.25,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23FA528&modNumber=P00007&idvAgencyID=&idvPIID=80NSSC23DA001&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/1/2025. Human resources and executive search consulting services: NASA enterprise-wide human capital services,National Aeronautics and Space Administration
80NSSC23PB368,Contract,Pacific Research & Evaluation LLC,183337.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC23PB368&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 5/1/2025. Audience evaluation of engagement content and materials,National Aeronautics and Space Administration
