Award ID,source_type,recipient,value,savings,status,source_url,description,agency,claim_date,action_date,detection_basis,detection_method
,Grant,George Washington University (THE),1174329.0,366992.0,,,"DOGE Action Date: 7/16/2025. Reported savings: $366,992.00. Basic research: assessing environmental justice, air quality, and health co-benefits of transport interventions in US urban areas",National Aeronautics and Space Administration,7/16/2025,2025-07-16,evidence,external_claim
,Contract,Immixtechnology INC,38454.11,38454.11,NOT FOUND IN FPDS,,"Status: NOT FOUND IN FPDS. Reported savings: $38,454.11. DOGE Action Date: 3/20/2025. This order is for digitmat software and support maintenance.",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
,Grant,President and Fellows of Harvard College,276651.0,0.0,,,DOGE Action Date: 6/20/2025. Reported savings: $0. Basic research: analyze orbiting carbon observatory,National Aeronautics and Space Administration,6/20/2025,2025-06-20,evidence,external_claim
,Grant, Trustees of Tufts College ,911540.0,604288.0,,,"DOGE Action Date: 6/6/2025. Reported savings: $604,288.00. Basic research: integrating earth observations toward advancing equitable resilience to geohazards in a changing climate",National Aeronautics and Space Administration,6/6/2025,2025-06-06,evidence,external_claim
80ARC023CA004,Contract,The Trustees of Columbia University,2000000.0,0.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80ARC023CA004&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,Status: TERMINATED. Reported savings: $0. DOGE Action Date: 3/10/2025. Contract for research and development work to extended longevity of 3d tissues and microph,National Aeronautics and Space Administration,3/10/2025,2025-03-10,evidence,external_claim
80GRC020F0111,Contract,"Hx5,, LLC",1513111.0,1513111.0,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC020F0111&modNumber=P00028&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,"Status: FUNDING ONLY ACTION. Reported savings: $1,513,111.00. DOGE Action Date: 3/20/2025. Superconducting motor components & test devices.",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
80GRC020F0115,Contract,"Hx5,, LLC",1771458.0,1771458.0,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC020F0115&modNumber=P00033&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,"Status: FUNDING ONLY ACTION. Reported savings: $1,771,458.00. DOGE Action Date: 3/20/2025. Electric drive test support and technical communication.",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
80GRC020F0118,Contract,"Hx5,, LLC",1877126.0,1877126.0,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC020F0118&modNumber=P00017&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,"Status: FUNDING ONLY ACTION. Reported savings: $1,877,126.00. DOGE Action Date: 3/20/2025. Lpr fan test hardware support. test lpr (low pressure ratio) turbofan design take-off, landing, climb, and cruise conditions.",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
80GRC021F0111,Contract,"Hx5,, LLC",148680.0,148680.0,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC021F0111&modNumber=P00005&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,"Status: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE. Reported savings: $148,680.00. DOGE Action Date: 3/20/2025. Advanced seal development 4",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
80GRC022F0189,Contract,"Hx5,, LLC",806334.0,806334.0,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GRC022F0189&modNumber=P00018&idvAgencyID=&idvPIID=80GRC020D0003&contractType=AWARD,"Status: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE. Reported savings: $806,334.00. DOGE Action Date: 3/20/2025. Prototype manufacturing of a motor for dusty & extremely cold environments (MDECE).",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
80GSFC23CA001,Contract,The Trustees of Columbia University,29953052.0,19404348.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23CA001&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"Status: TERMINATED. Reported savings: $19,404,348.00. DOGE Action Date: 3/10/2025. Sedac facilitates the analysis and portrayal of the human dimensions of global change need",National Aeronautics and Space Administration,3/10/2025,2025-03-10,evidence,external_claim
80GSFC23CA041,Contract,Autonomic Integra LLC,8389628.0,21134122.0,FUNDING ONLY ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC23CA041&modNumber=P00023&idvAgencyID=&idvPIID=&contractType=AWARD,"Status: FUNDING ONLY ACTION. Reported savings: $21,134,122.00. DOGE Action Date: 3/20/2025. The purpose of this contract is to acquire scientific support and related services for the giss facility in new york city, ny.",National Aeronautics and Space Administration,3/20/2025,2025-03-20,evidence,external_claim
80GSFC24CA024,Contract,"A3L Federal Works,Llc",1978784.51,1423496.0,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80GSFC24CA024&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"Status: TERMINATED. Reported savings: $1,423,496.00. DOGE Action Date: 4/14/2025. Knowledge management, events and communications supports (KMECS) ivv contract",National Aeronautics and Space Administration,4/14/2025,2025-04-14,evidence,external_claim
