Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,Unnamed: 26
80NSSC24PC064,,P00001,0,PO Purchase Order,$0.00,"Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,U009,EDUCATION/TRAINING- GENERAL,611710.0,EDUCATIONAL SUPPORT SERVICES,HOUSTON,TX,770566239,NONE,NONE OF THE ABOVE,CLMGDNJVMW15,CLMGDNJVMW15,THE JANDOR GROUP LLC,THE JANDOR GROUP LLC,9L7S4,
80NSSC23F0002,NNG15SD22B,P00001,0,DO Delivery Order,$0.00,"Apr 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,541519.0,OTHER COMPUTER RELATED SERVICES,HERNDON,VA,201715505,NONE,NONE OF THE ABOVE,H1KHJPJH9R51,H1KHJPJH9R51,FOUR POINTS TECHNOLOGY  L.L.C.,"FOUR POINTS TECHNOLOGY, L.L.C.",1YS78,
80NSSC24PB720,,P00001,0,PO Purchase Order,$0.00,"Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,DG11,IT and Telecom - Network: Satellite Communications and Telecom Access Services,513210.0,SOFTWARE PUBLISHERS,BETTENDORF,IA,527223278,NONE,NONE OF THE ABOVE,MC2YEN912K88,ZBX9JPSP15D1,R3 UNIQ INC,R3 UNIQ INC,74WH3,
80NSSC24PC363,,P00002,0,PO Purchase Order,"-$6,000.00","Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,611710.0,EDUCATIONAL SUPPORT SERVICES,SAN DIEGO,CA,921211714,NONE,NONE OF THE ABOVE,V9XYVPWVB9C1,VGLXNJSGWA84,QUALCOMM TECHNOLOGIES INC,QUALCOMM TECHNOLOGIES INC,6SRK8,
80GRC022AA005,,P00001,0,BPA Blanket Purchase Agreement,$0.00,"Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA GLENN RESEARCH CENTER,P,3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT,332710.0,MACHINE SHOPS,WAUSAU,WI,544019328,NONE,NONE OF THE ABOVE,EFHJM9QN5DJ5,EFHJM9QN5DJ5,APPLIED FAB & MACHINING  INC.,"APPLIED FAB & MACHINING, INC.",66C85,
80NSSC23PA010,,P00004,0,PO Purchase Order,"-$38,680.00","Apr 8, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,R799,SUPPORT- MANAGEMENT: OTHER,488119.0,OTHER AIRPORT OPERATIONS,ROSAMOND,CA,935607205,NONE,NONE OF THE ABOVE,JHQKJ3FHH787,JHQKJ3FHH787,BUSINESS CLASS AVIATION INC.,BUSINESS CLASS AVIATION INC.,7RGA0,
80KSC021A0007,GS10F0202S,P00006,0,BPA Blanket Purchase Agreement,$0.00,"Mar 21, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA KENNEDY SPACE CENTER,S,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WINTER SPRINGS,FL,327080034,NONE,NONE OF THE ABOVE,L2D8MLFE2G65,L2D8MLFE2G65,THE PERFORMANCE KNOWLEDGE GROUP  LLC,THE PERFORMANCE KNOWLEDGE GROUP LLC,3C2L4,
80NSSC24PA210,,P00002,0,PO Purchase Order,"-$70,000.00","Mar 28, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,P,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),541519.0,OTHER COMPUTER RELATED SERVICES,UPPSALA,,753 09,NONE,NONE OF THE ABOVE,UAMPD6KHNVU8,UAMPD6KHNVU8,UNIBAP AB,UNIBAP AB,AYFAN,
80NSSC24PC269,,P00001,0,PO Purchase Order,$0.00,"Mar 24, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,U002,EDUCATION/TRAINING- PERSONNEL TESTING,541618.0,OTHER MANAGEMENT CONSULTING SERVICES,MCLEAN,VA,221025150,NONE,NONE OF THE ABOVE,MAA3SBSDQVM1,MAA3SBSDQVM1,KPMG LLP,KPMG LLP,7QEG9,
80NSSC25K7031,,P00002,0,Grant For Research,$0.00,"Jun 6, 2025",,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NASA SHARED SERVICES CENTER,S,AJ11,GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; BASIC RESEARCH,,,SOMERVILLE,MA,021442401,,,WL9FLBRVPJJ7,WL9FLBRVPJJ7,TRUSTEES OF TUFTS COLLEGE,TRUSTEES OF TUFTS COLLEGE,4B965,
