_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,80NSSC22K0416_CX_P00002,,[-9223372036854775808],A Venus Durable Actuator and Electronics System,HQ,"HONEYBEE ROBOTICS, LTD",,80NSSC22K0416 CX P00002,Funding | Funding - Incremental,Michael Lienhard,Erik Mumm,,2025-01-31,2022-02-01,C.21 Hot Operating Temperature Technology,Cancelled
nasa-public,grants,80NSSC22K0556_CX_P00001,,[-9223372036854775808],Exploring 3D Collisionless Magnetic Reconnection in the Laboratory,HQ,Univ. of Wisconson,,80NSSC22K0556 CX P00001,|,Roshanak Hakimzadeh,JAN EGEDAL,,2025-02-01,2022-02-02,B.8 Heliophysics Technology and Instrument Development for Science,Cancelled
nasa-public,grants,80NSSC22K0557_CX_P00001,,[-9223372036854775808],Low-resource instrumentation for scientific measurements in planetary thermospheres,HQ,University System Of New Hampshire,,80NSSC22K0557 CX P00001,|,Roshanak Hakimzadeh,James Clemmons,,2025-02-01,2022-02-02,B.8 Heliophysics Technology and Instrument Development for Science,Cancelled
nasa-public,grants,80NSSC22K0640_CX_P00003,,[-9223372036854775808],Development of Grotifer: a CubeSat for Three-dimensional Electric Field Measurements,HQ,"University of California, Berkeley",,80NSSC22K0640 CX P00003,|,Roshanak Hakimzadeh,Solene Lejosne,,2025-02-08,2022-02-09,B.8 Heliophysics Technology and Instrument Development for Science,Cancelled
nasa-public,grants,80NSSC22K1092_cancelled,,[-9223372036854775808],Embedded PNT Module for Distributed Radar Sensing,GSFC,"Aloft Sensing, Inc.",4200807462,80NSSC22K1092 cancelled,Funding | Funding - Incremental,Robert Bauer,Patrick Rennich,,2025-02-14,2022-06-15,A.45 Decadal Survey Incubation,Cancelled
nasa-public,grants,80NSSC22M0094,,[-9223372036854775808],MarineVERSE ? The Marine Biodiversity and Scaling Project,ARC,UNIVERSITY OF MIAMI,4200785096,80NSSC22M0094,Base Award,WOODY TURNER,SAM PURKIS,,2025-02-14,2022-02-15,A.7 Biodiversity,Cancelled
nasa-public,grants,80NSSC22K0680_CX_P00001,,[-9223372036854775808],Sea-Surface Temperature from VIIRS,HQ,UNIVERSITY OF MIAMI,,80NSSC22K0680 CX P00001,"Administrative | Administrative - A.G.O. Change, Administrative - PI Change",NADYA VINOGRADOVA SHIFFER,Peter Minnett,,2025-02-15,2022-02-16,A.52 NASA Suomi National Polar-Orbiting Partnership (NPP) and the Joint Polar Satellite System (JPSS) Satellites Standard Products for Earth System Data Records,Cancelled
nasa-public,grants,80NSSC21K0669_CANCELLED,,[-9223372036854775808],Personalized Performance Optimization Platform (P-POP),JSC,,,80NSSC21K0669 CANCELLED,|,LUCY BARNES-MOTEN,Gary Strangman,,2025-02-22,2021-02-23,COMPETED,Cancelled
nasa-public,grants,80NSSC22K0522_CANCELLED,,[-9223372036854775808],Phase coherence of intense chorus type whistler waves: effects on resonant interaction with electrons,HQ,"University of California, Berkeley",,80NSSC22K0522 CANCELLED,|,Galen Fowler,OLEKSIY AGAPITOV,,2025-02-28,2022-03-01,B.4 Heliophysics Guest Investigator Open,Cancelled
nasa-public,grants,80NSSC22K0588__CX_P00002,,[-9223372036854775808],High-Frequency Magnetic Loop for Heliophysics Exploration,HQ,"University Of California, Los Angeles",,80NSSC22K0588  CX P00002,|,Roshanak Hakimzadeh,Xiaojia Zhang,,2025-02-28,2022-03-01,B.8 Heliophysics Technology and Instrument Development for Science,Cancelled
nasa-public,grants,80NSSC22K0780_CANCELLED,,[-9223372036854775808],Characterizing the physical and chemical structure of protoplanetary disks from their gas line emission,HQ,Seti Institute,,80NSSC22K0780 CANCELLED,Administrative | Administrative - Change Award Value,hannah jang-condell,Uma Gorti,,2025-03-13,2022-03-14,F.3 Exoplanets Research Program,Cancelled
nasa-public,grants,80NSSC22K0754_CANCELLED,,[-9223372036854775808],The Subsurface Nature of Supergranulation and Active-region Flows as Inferred from Probabilistic Inversions of Ensemble Averaged Travel-time Measurements,HQ,"NorthWest Research Associates, Inc",,80NSSC22K0754 CANCELLED,Funding | Funding - Incremental,Galen Fowler,Douglas Braun,,2025-03-14,2022-03-15,B.4 Heliophysics Guest Investigator Open,Cancelled
nasa-public,grants,80NSSC23K0830,,[-9223372036854775808],Ultrastable Testbed Technology Maturation,GSFC,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,,80NSSC23K0830,Base Award,Ritva Keski-kuha,Sang Park,,2025-03-27,2023-03-28,,Cancelled
nasa-public,grants,80NSSC17M0075_P00005,,[-9223372036854775808],EXPLORING ARCTIC CLIMATE CHANGE WITH MODELS AND DATA,GSFC,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,80NSSC17M0075 P00005,Funding | Funding - Extension and Additional Time,Gavin Schmidt,JOHN MARSHALL,,2025-03-31,2017-09-08,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC17M0075_CX_P00005,,[-9223372036854775808],EXPLORING ARCTIC CLIMATE CHANGE WITH MODELS AND DATA,GSFC,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,80NSSC17M0075 CX P00005,Funding | Funding - Extension and Additional Time,Gavin Schmidt,JOHN MARSHALL,,2025-03-31,2017-09-08,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC22K0899,,[-9223372036854775808],A High-Top Global Circulation Model for Mars,GSFC,University Corporation For Atmospheric Research,4200792354,80NSSC22K0899,Base Award,Diego Janches,DANIEL MARSH,,2025-04-03,2022-04-04,,Cancelled
nasa-public,grants,80NSSC22K0792,,[-9223372036854775808],Material Ignition and Suppression Test (MIST) in Space Exploration Atmospheres,GRC,"University of California, Berkeley",4200792639,80NSSC22K0792,Base Award,Sandra Olson,CARLOS FERNANDEZ-PELLO,,2025-04-30,2022-05-01,,Cancelled
nasa-public,grants,80NSSC21K1082_CX_-P00007,,[-9223372036854775808],INVESTIGATING THE SOURCES OF STRATOSPHERIC AEROSOLS WITH BALLOON-BORNE IN SITU MEASUREMENTS,HQ,National Institute of Aerospace Associates,,80NSSC21K1082 CX -P00007,Administrative | Administrative - Add Government Furnished Property,KENNETH JUCKS,Jean-Paul Vernier,,2025-05-18,2021-05-19,A.18 ATMOSPHERIC COMPOSITION: UPPER ATMOSPHERIC COMPOSITION OBSERVATIONS,Cancelled
nasa-public,grants,80NSSC22K1170,,[-9223372036854775808],MarineVERSE ? The Marine Biodiversity and Scaling Project,ARC,UNIVERSITY OF MIAMI,4200803302,80NSSC22K1170,Base Award,WOODY TURNER,SAM PURKIS,,2025-05-24,2022-05-25,Biodiversity,Cancelled
nasa-public,grants,80NSSC21K0350_CXP00005,,[-9223372036854775808],"Evaluation of Computed Axial Lithography for rapid, volumetric additive manufacturing under low-gravity conditions",AFRC,"University of California, Berkeley",,80NSSC21K0350 CXP00005,Funding | Funding - Augmentation,RYAN DIBLEY,Hayden Taylor,,2025-05-31,2021-02-01,competed,Cancelled
nasa-public,grants,80NSSC22K1040_CX:P00001,,[-9223372036854775808],Formation of varied types of aerosols on Pluto,HQ,Southwest Research Institute,,80NSSC22K1040 CX:P00001,|,JEFFREY GROSSMAN,Eliot Young,,2025-05-31,2022-06-01,C.7 New Frontiers Data Analysis Program,Cancelled
nasa-public,grants,80NSSC22K1073__CK:P00002,,[-9223372036854775808],Timescales for boulder evolution from thermal fatigue and impacts on asteroid (101955) Bennu,HQ,PLANETARY SCIENCE INSTITUTE,4200846658,80NSSC22K1073  CK:P00002,|,JEFFREY GROSSMAN,JAMIE MOLARO,,2025-05-31,2022-06-01,C.7 New Frontiers Data Analysis Program,Cancelled
nasa-public,grants,80NSSC21K1200_CX:P00003,,[-9223372036854775808],"MEASUREMENTS OF ATMOSPHERIC TRACE SPECIES AND GREENHOUSE GASES ( CO2 , CH4 , CO , N2O ) FROM AIRBORNE AND BALLOON PLATFORMS",HQ,HARVARD UNIVERSITY,,80NSSC21K1200 CX:P00003,Administrative | Administrative - Add/Remove Terms and Conditions,KENNETH JUCKS,Steven Wofsy,,2025-06-02,2021-06-03,A.18 ATMOSPHERIC COMPOSITION: UPPER ATMOSPHERIC COMPOSITION OBSERVATIONS,Cancelled
nasa-public,grants,80NSSC21K1397,,[-9223372036854775808],Development and Implementation of Joint Programs in Laser Ranging and Other Space Geodesy Techniques,GSFC,Smithsonian Astrophysical Observatory,4200770337,80NSSC21K1397,Base Award,STEPHEN MERKOWITZ,Michael Pearlman,,2025-06-02,2021-06-03,single source,Cancelled
nasa-public,grants,80NSSC22K1104_CX:P00003,,[-9223372036854775808],Advancing Capabilities for Systems Analysis of PBL and its Interactions with the Earth System,GSFC,UNIVERSITY OF ARIZONA,,80NSSC22K1104 CX:P00003,Funding | Funding - Incremental,Barry Lefer,AVELINO ARELLANO,,2025-06-14,2022-06-15,A.45 Decadal Survey Incubation,Cancelled
nasa-public,grants,80NSSC22K1095_CANCELLED,,[-9223372036854775808],Hyperspectral Capability for CoSMIR: Enhancing Capability for Future PBL Suborbital Campaigns and Enabling PBL Science from Space,GSFC,"University of Maryland, College Park",4200807451,80NSSC22K1095 CANCELLED,Funding | Funding - Incremental,Robert Bauer,Rachael Kroodsma,,2025-06-14,2022-06-15,A.45 Decadal Survey Incubation,Cancelled
nasa-public,grants,80NSSC22K1104_CX_P00002,,[-9223372036854775808],Advancing Capabilities for Systems Analysis of PBL and its Interactions with the Earth System,GSFC,UNIVERSITY OF ARIZONA,4200850156,80NSSC22K1104 CX P00002,Funding | Funding - Incremental,Barry Lefer,AVELINO ARELLANO,,2025-06-14,2022-06-15,A.45 Decadal Survey Incubation,Cancelled
nasa-public,grants,80NSSC22M0070_CANCELLED,,[-9223372036854775808],Robust and Resilient Autonomy for Advanced Air Mobility,ARC,University of Illinois at Urbana?Champaign,,80NSSC22M0070 CANCELLED,Administrative | Administrative - T.O. Change,Irene Gregory,NAIRA HOVAKIMYAN,,2025-06-30,2022-07-01,D.4 - University Leadership Initiative (ULI),Cancelled
nasa-public,grants,80NSSC23K1248,,[-9223372036854775808],Evaluation of the cellular and molecular responses of lung and liver cells derived from iPSCs with varying intrinsic radiosensitivity to space radiation,JSC,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,4200838751,80NSSC23K1248,Base Award,Mary Kirby,Anthony  Davis,,2025-07-06,2023-07-07,2020 HERO Appendix C: Human Health Countermeasures and Space Radiation Topics,Cancelled
nasa-public,grants,80NSSC22K1111_cancelled,,[-9223372036854775808],Identification and Dynamical Evolution of Asteroid Families,HQ,SOUTHWEST RESEARCH INSTITUTE,,80NSSC22K1111 cancelled,Administrative | Administrative - Change Pop Start Date,Delia Santiago-materese,David Nesvorny,,2025-07-31,2022-07-29,C.3 Solar System Workings,Cancelled
nasa-public,grants,80NSSC22K1094_CANCELLED,,[-9223372036854775808],Advanced information systems to fill STV gaps: next-generation stereo+lidar fusion and sensor technology,GSFC,UNIVERSITY OF WASHINGTON,,80NSSC22K1094 CANCELLED,"Administrative | Administrative - Add/Remove Terms and Conditions, Administrative - Change Pop Dates",Robert Bauer,DAVID SHEAN,,2025-07-31,2022-08-01,A.45 Decadal Survey Incubation,Cancelled
nasa-public,grants,80NSSC21K1284_CANCELLED,,[-9223372036854775808],"MULTISCALE, MULTIPHYSICS, AND MULTIFIDELITY MODELING AND SIMULATION OF PLASMA-SURFACE-DUST INTERACTIONS FOR LUNAR EXPLORATION",HQ,,,80NSSC21K1284 CANCELLED,|,Hung Nguyen,Daoru Han,,2025-08-01,2021-08-02,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC21K1249_CANCELLED,,[-9223372036854775808],ENABLING LOW-POWER SMART SENSORS WITH MACHINE LEARNING CALIBRATION,HQ,,,80NSSC21K1249 CANCELLED,Administrative | Administrative - Add/Remove Terms and Conditions,Hung Nguyen,Mustafa Aksoy,,2025-08-01,2021-08-02,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC21K1263_CANCELLED,,[-9223372036854775808],ENHANCEMENT OF LONG-TERM BEHAVIORAL HEALTH THROUGH VIRTUAL REALITY TECHNOLOGIES,HQ,,,80NSSC21K1263 CANCELLED,Administrative | Administrative - Add/Remove Terms and Conditions,Hung Nguyen,Ana Diaz Artiles,,2025-08-01,2021-08-02,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC21K1727_CANCELLED,,[-9223372036854775808],Evaluation of Tropical Cloud-Radiation-Circulation Coupling in NASA GISS ModelE3 Using Observations and Reanalysis,HQ,Columbia University in the City of New York,,80NSSC21K1727 CANCELLED,Administrative | Administrative - P.I. Change,DAVID CONSIDINE,JUILIN LI,,2025-08-05,2021-08-06,Modeling Analysis and Prediction,Cancelled
nasa-public,grants,80NSSC20K1593_CANCELLED,,[-9223372036854775808],Probing Exoplanet Atmospheric Physics with the EXoplanet Climate Infrared TElescope (EXCITE),GSFC,,,80NSSC20K1593 CANCELLED,|,Peter Nagler,Brian Kilpatrick,,2025-08-06,2020-08-07,RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES ? 2018,Cancelled
nasa-public,grants,80NSSC22K1474_CX:P00006,,[-9223372036854775808],CUBES-II: Center for the Utilization of Biological Engineering in Space v. II,HQ,University of California at Berkeley,,80NSSC22K1474 CX:P00006,|,Frances Donovan,ADAM ARKIN,,2025-08-14,2022-08-15,SINGLE SOURCE,Cancelled
nasa-public,grants,80NSSC22M0069_CANCELLED,,[-9223372036854775808],Lowering Emissions and Environmental Impact from Civil Supersonic Transport,ARC,Georgia Tech Research Corporation,,80NSSC22M0069 CANCELLED,Administrative | Administrative - T.O. Change,Kathleen Tacina,ADAM STEINBERG,,2025-08-14,2022-08-15,ROSES 2021,Cancelled
nasa-public,grants,80NSSC21K1261_CANCELLED,,[-9223372036854775808],REFORM: RECONFIGURABLE ANTENNAS FOR WEARABLE SPACE MEDICAL DIAGNOSTICS,HQ,,,80NSSC21K1261 CANCELLED,|,Hung Nguyen,Asimina Kiourti,,2025-08-15,2021-08-16,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC21K1757_cancelled,,[-9223372036854775808],"Formation and alteration of early solar system materials: Insights from coordinated micro and nanoscale mineralogic, spectroscopic, and isotopic studies.",HQ,,,80NSSC21K1757 cancelled,"Administrative | Administrative - T.O. Change, Administrative - A.G.O. Change",Kathleen Vander Kaaden,Adrian Brearley,,2025-08-15,2021-08-16,C.2 Emerging Worlds,Cancelled
nasa-public,grants,80NSSC22K0705,,[-9223372036854775808],ICON Phase E Extension,GSFC,University Corporation For Atmospheric Research,4200789659,80NSSC22K0705,Base Award,Jeffrey Klenzing,ASTRID MAUTE,,2025-08-25,2023-01-26,,Cancelled
nasa-public,grants,80NSSC21K1270_CANCELLED,,[-9223372036854775808],A FRAMEWORK FOR PREVENTING AND RECOVERING FROM CASCADING FAILURE EVENTS FOR SPACE-BASED DC POWER SYSTEMS,HQ,UNIVERSITY OF COLORADO ? BOULDER,,80NSSC21K1270 CANCELLED,|,Hung Nguyen,Bri-Mathias Hodge,,2025-08-29,2021-08-30,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Cancelled
nasa-public,grants,80NSSC23M0014,,[-9223372036854775808],Support for Looking for a Biotic Need in a Kerogen Haystack,ARC,University of Maryland at College Park,4200821097,80NSSC23M0014,Base Award,ANDREW MATTIODA,Dina Bower,,2025-08-31,2022-09-01,C.5 Exobiology,Cancelled
nasa-public,grants,80NSSC21M0071_CANCELLED,,[-9223372036854775808],Autonomous Aerial Cargo Operations at Scale,ARC,UNIVERSITY OF TEXAS,,80NSSC21M0071 CANCELLED,Funding | Funding - Incremental,Rafael Apaza,UFUK TOPCU,,2025-08-31,2021-09-01,COMPETED,Cancelled
nasa-public,grants,80NSSC22K1369_CX_P00002,,[-9223372036854775808],"Dating hematite in ancient fluviolacustrine sedimentary rocks: developing the capacity to constrain the timing of hydrologic cycling on Mars (FI: Fuentes, Anthony)",HQ,University of California at Berkeley,,80NSSC22K1369 CX P00002,Administrative | Administrative - T.O. Change,Lindsay Hays,Nicholas Swanson-Hysell,,2025-08-31,2022-09-01,F.5 Future Investigators in NASA Earth and Space Science and Technology,Cancelled
nasa-public,grants,80NSSC23M0240,,[-9223372036854775808],SCALES: Spacecraft Compartmentalized Autonomous Learning and Edge-computing System,ARC,Cal Poly Pomona Foundation Inc.,4200848209,80NSSC23M0240,Base Award,Rodolphe  De Rosee,Phyllis  Nelson,,2025-09-26,2023-10-02,University Smallsat Technology Partnerships (USTP),Cancelled
nasa-public,grants,80NSSC23K0082,,[-9223372036854775808],GEOS-Carb IV: Delivering low-latency carbon flux and concentration datasets in support of NASA's Carbon Monitoring System,GSFC,UNIVERSITIES SPACE RESEARCH ASSOCIATION,4200818246,80NSSC23K0082,Base Award,Lesley Ott,Tomohiro Oda,,2025-09-29,2022-09-30,A.6 Carbon Monitoring System,Cancelled
nasa-public,grants,80NSSC23K1531,,[-9223372036854775808],Hydroponic/Aeroponic Nutrient Delivery In Volumetrically Efficient Garden (HANDIVEG),KSC,Sierra Space Corporation,4200844083,80NSSC23K1531,Base Award,Ralph Fritsche,John Wetzel,,2025-09-30,2023-10-01,"Development of Microgravity Food Production: Plant Watering, Volume Management, and Novel Plant Research on the International Space Station",Cancelled
