_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,NNX16AQ18G_S002,,[-9223372036854775808],AN INTEGRATED ATMOSPHERIC AND SUBSURFACE INVESTIGATION OF THE EVOLUTION OF THE EARLY MARTIAN HYDROSPHERE: IMPLICATIONS FOR THE OCCURRENCE AND DURATION OF POTENTIALLY HABITABLE LIQUID WATER ENVIRONMENTS ON A COLD EARLY MARS.,HQ,UNIVERSITIES SPACE RESEARCH ASSOCIATIONS,,NNX16AQ18G S002,Receiving,Mitchell Schulte,STEPHEN CLIFFORD,,2020-01-22,2017-01-23,HABITABLE WORLDS,Cancelled
nasa-public,grants,NNX17AF41G_CANCELLED,,[-9223372036854775808],Star and Planet Formation Science from NASA Mission Archives,HQ,California Institute of Tech (Caltech),,NNX17AF41G CANCELLED,Administrative |,DOUGLAS HUDGINS,Lynne Hillenbrand,,2020-01-30,2017-01-31,Astrophysics Data Analysis,Cancelled
nasa-public,grants,NNX17AF41G_CANCELLED_S01,,[-9223372036854775808],Star and Planet Formation Science from NASA Mission Archives,HQ,California Institute of Tech (Caltech),,NNX17AF41G CANCELLED S01,Distribution,DOUGLAS HUDGINS,Lynne Hillenbrand,,2020-01-30,2017-01-31,Astrophysics Data Analysis,Cancelled
nasa-public,grants,NNX17AE48G_P00005,,[-9223372036854775808],Microgravity effects on co-cultured vascular cells types,ARC,"University Of Florida, Gainsville",,NNX17AE48G P00005,Distribution,Yuri Griko,JOSEPHINE ALLEN,,2020-01-31,2017-02-01,Appendix A: GeneLab Innovation Awards for Translational Systems Biology and Informatics Research,Cancelled
nasa-public,grants,NNX17AH07A_S005,,[-9223372036854775808],"SUCCESSOR AWARD TO COOPERATIVE AGREEMENT NNX11AO88A FOR THE SUPPORT FOR THE CHEMIN SUPPOSRT FOR THE CHEMIN MINERALOGICAL INSTRUMENT DURING THE MARS SCIENCE LABORATORY (MSL'11) MISSION: EXPERIMENT PLANNING, DATA ANALYSIS AND MISSION OPERATIONS",ARC,PLANETARY SCIENCE INSTITUTE,,NNX17AH07A S005,Receiving,MARK FONDA,DAVID VANIMAN,,2020-02-06,2017-02-07,UNSOLICITED,Cancelled
nasa-public,grants,NNX16AF20G_S02,,[-9223372036854775808],AUGMENTING GRACE AND GRACE FOLLOW-ON WITH LONG WAVELENGTH VARIATIONS OF THE EARTH'S GRAVITY FIELD FROM SATELLITE LASER RANGING,HQ,UNIVERSITY OF TEXAS,,NNX16AF20G S02,Administrative |,LUCIA TSAOUSSI,MINKANG CHENG,,2020-02-15,2016-02-16,GRACE AND GRACE-FO SCIENCE TEAM,Cancelled
nasa-public,grants,80NSSC19M0022_P00002,,[-9223372036854775808],MODULAR AND SCALABLE HIGH EFFICIENCY POWER INVERTERS FOR EXTREME POWER DENSITY APPLICATIONS,GRC,UNIVERSITY OF CALIFORNIA - BERKELEY,4200701202,80NSSC19M0022 P00002,Package Processing,Andrew Provenza,Robert PILAWA,,2020-02-20,2018-01-01,RESEARCH OPPORTUNITIES IN AERONAUTICS-2015,Cancelled
nasa-public,grants,NNX17AG92G_S01,,[-9223372036854775808],ORIGIN OF NEAR-EARTH ASTEROIDS TARGETED BY SPACECRAFT,HQ,University of Central Florida,,NNX17AG92G S01,Administrative |,Kelly Fast,HUMBERTO CAMPINS,,2020-02-22,2017-04-01,SOLAR SYSTEM OBSERVATIONS,Cancelled
nasa-public,grants,NNX16AO81G_S01,,[-9223372036854775808],LABORATORY INVESTIGATIONS OF ELECTROSTATIC DUST LOFTING AND TRANSPORT ON THE SURFACES OF AIRLESS BODIES,HQ,UNIVERSITY OF COLORADO - BOULDER,,NNX16AO81G S01,Funding |,MARY VOYTEK,XU WANG,,2020-02-25,2017-02-26,SOLAR SYSTEM WORKINGS,Cancelled
nasa-public,grants,NNX17AH23G_S003,,[-9223372036854775808],AN INVESTIGATION OF OCEAN SURFACE WAVE SPECTRA FOR SATELLITE APPLICATIONS,HQ,UNIVERSITY OF WASHINGTON - SEATTLE,,NNX17AH23G S003,Administrative |,NADYA VINOGRADOVA,WILLIAM PLANT,,2020-02-26,2017-02-27,PHYSICAL OCEANOGRAPHY,Cancelled
nasa-public,grants,NNX15AE05G,,[1423612800000],"THE LIVING, BREATHING PLANET",HQ,HAMPTON UNIVERSITY,4200538547,NNX15AE05G,Base Award,MARY VOYTEK,WILLIAM MOORE,2015-02-11,2020-02-28,2015-03-01,NASA ASTROBIOLOGY INSTITUTE CYCLE 7 COOPERATIVE AGREEMENT NOTICE,Cancelled
nasa-public,grants,NNX17AF40G_S003,,[-9223372036854775808],UPGRADES TO THE GALEX PHOTON TOOLS FOR PRODUCTION OF DATABASES OF GALEX UV PHOTOMETRY AND VARIABILITY AT SHORT TIMESCALES,HQ,MILLION CONCEPTS LLC,,NNX17AF40G S003,Receiving,DOUGLAS HUDGINS,CHASE MILLION,,2020-02-28,2017-03-01,ASTROPHYSICS DATA ANALYSIS,Cancelled
nasa-public,grants,NNX17AJ02G,,[-9223372036854775808],DEVELOPMENT OF A GLOBAL EVAPORATIVE STRESS INDEX BASED ON THERMAL AND MICROWAVE LST TOWARDS IMPROVED MONITORING OF AGRICULTURAL DROUGHT,MSFC,UNIVERSITY OF MARYLAND - COLLEGE PARK,4200619187,NNX17AJ02G,Distribution,Christopher Hain,INBAL BECKER-RESHEF,,2020-02-29,2017-03-01,RESEARCH OPPROTUNITIES IN SPACE AND EARTH SCIENCES - 2016,Cancelled
nasa-public,grants,80NSSC19K0428_CANCELLED,,[-9223372036854775808],EFFECTS OF SIMULATED MICROGRAVITY ON SUMOYLATION,ARC,OKLAHOMA STATE UNIVERSITY RESEARCH FOUND,,80NSSC19K0428 CANCELLED,Funding | Funding - Incremental,Kevin Sato,RITA MILLER,,2020-02-29,2019-03-01,Appendix G: Solicitation of Proposals for Flight and Ground Space Biology Research,Cancelled
nasa-public,grants,NNX14AD69G_S021,,[-9223372036854775808],EFFECT OF CONVECTION ON THE COLUMNAR-TO-EQUIAXED TRANSITION IN ALLOY SOLIDIFICATION,MSFC,UNIVERSITY OF IOWA,,NNX14AD69G S021,Receiving,SRIDHAR GORTI,CHRISTOPH BECKERMANN,,2020-02-29,2014-03-01,RESEARCH OPPORTUNITIES IN MATERIALS SCIENCE,Cancelled
nasa-public,grants,80NSSC19K0693,,[-9223372036854775808],Shape memory alloy database,GRC,University of Kentucky,4200692116,80NSSC19K0693,Resolve/FPDS-NG,Othmane Benafan,Haluk Karaca,,2020-03-10,2019-03-11,SINGLE SOURCE,Cancelled
nasa-public,grants,80NSSC20M0003,,[-9223372036854775808],ackyard Worlds: Finding Nearby Brown Dwarfs Through Citizen Science,GSFC,Arizona State University,4200711847,80NSSC20M0003,Resolve/FPDS-NG,MARC KUCHNER,ADAM SCHNEIDER,,2020-03-22,2019-09-23,SINGLE SOURCE,Cancelled
nasa-public,grants,80NSSC19M0238,,[-9223372036854775808],Backyard Worlds: Finding Nearby Brown Dwarfs Through Citizen Science,GSFC,Arizona State University,,80NSSC19M0238,Distribution,MARC KUCHNER,ADAM SCHNEIDER,,2020-03-22,2019-09-23,SINGLE SOURCE,Cancelled
nasa-public,grants,NNX15AG71A,,[1428451200000],ACTINIC FLUX SPECTRORADIOMETERS (CAFS),ARC,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH (UCAR),4200544378,NNX15AG71A,Base Award,DAVE JORDAN,SAMUEL R HALL,2015-04-08,2020-03-31,2015-04-01,EARTH VENTURE SUBORBITAL-2,Cancelled
nasa-public,grants,NNX17AH80G_S01,,[-9223372036854775808],"THE INJECTION, TRANSPORT AND EVOLUTION OF DUST IN SUPERNOVA-DRIVEN INTERSTELLAR MEDIA",HQ,Smithsonian Astrophysical Observatory,,NNX17AH80G S01,Funding |,Keith MacGregor,JONATHAN SLAVIN,,2020-03-31,2017-04-01,ASTROPHYSICS THEORY,Cancelled
nasa-public,grants,NNX17AJ03G,,[-9223372036854775808],DEVELOPMENT OF A GLOBAL EVAPORATIVE STRESS INDEX BASED ON THERMAL AND MICROWAVE LST TOWARDS IMPROVED MONITORING OF AGRICULTURAL DROUGHT,MSFC,UNIVERSITY OF NEBRASKA - LINCOLN,4200620924,NNX17AJ03G,Package Prep,Christopher Hain,BRIAN WARDLOW,,2020-03-31,2017-04-01,RESEARCH OPPORTUNITIES IN SPACE AND EARTH SCIENCES - 2016,Cancelled
nasa-public,grants,NNX17AK96G_CX_S003,,[-9223372036854775808],PREPARING THE GEOLOGICAL MAP OF MERCURY AS A USGS MAP PRODUCT,HQ,NORTH CAROLINA STATE UNIVERSITY,,NNX17AK96G CX S003,Funding | Funding - Incremental,Sarah Noble,PAUL BYRNE,,2020-03-31,2017-05-16,"PLANETARY DATA ARCHIVING, RESTORATION, AND TOOLS",Cancelled
nasa-public,grants,NNX15AG59A,,[1427241600000],ATMOSPHERIC TOMOGRAPHY EXPERIMENT (ATOM),ARC,PENNSYLVANIA STATE UNIVERSITY,4200544377,NNX15AG59A,Base Award,DAVE E JORDAN,WILLIAM BRUNE,2015-03-25,2020-03-31,2015-04-01,VENTURE SUBORBITAL-2,Cancelled
nasa-public,grants,NNX14AL77A_S025,,[-9223372036854775808],RADIATION SHIELDING STUDIES AND IMPROVED TRANSPORT METHODS,LARC,OLD DOMINION UNIVERSITY RESEARCH FOUNDAT,,NNX14AL77A S025,Distribution,TONY SLABA,JOHN TWEED,,2020-03-31,2014-08-31,UNSOLICITED,Cancelled
nasa-public,grants,NNX15AG11G_CANCELLED,,[-9223372036854775808],RESIDENCE TIME DRIVEN FLAME SPREAD OVER SOLID FUELS,GRC,SAN DIEGO STATE UNIVERSITY,,NNX15AG11G CANCELLED,|,SANDRA L OLSON,SUBRATA BHATTACHARJEE,,2020-04-05,2015-04-06,RESEARCH OPPORTUNITIES IN COMBUSTION SCIENCE,Cancelled
nasa-public,grants,NNX17AJ63A_S009,,[-9223372036854775808],LONG TERM LAND SURFACE REFLECTANCE AND APPLICATIONS,GSFC,UNIVERSITY OF MARYLAND - COLLEGE PARK,,NNX17AJ63A S009,Receiving,Eric Vermote,Jean-Claude Roger,,2020-04-05,2017-04-06,UNSOLICITED,Cancelled
nasa-public,grants,NNX15AI21G_CANCELLED_S07,,[-9223372036854775808],SPACE RADIATION AND GASTROINTESTINAL CANCER: A COMPREHENSIVE STRATEGY FOR RISK ASSESSMENT AND MODEL DEVELOPMENT,JSC,Georgetown University,4200631991,NNX15AI21G CANCELLED S07,CS Approve,Diana Risin,ALBERT FORNACE,,2020-04-14,2015-04-15,NASA SPECIALIZED CENTERS OF RESEARCH (NSCORS) FOR GROUND-BASED STUDIES IN CANCER RISKS AND COGNITIVE AND BEHAVIORAL CENTRAL NERVOUS SYSTEM RISKS FROM SPACE RADIATION,Cancelled
nasa-public,grants,NNX16AH70G_S006,,[-9223372036854775808],A COMPREHENSIVE PROGRAM TO UNCOVER THE DYNAMICS OF SOLAR ERUPTIONS AND OF THE SOLAR WIND IN SUPPORT OF THE STEREO MISSION,GSFC,JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,,NNX16AH70G S006,Funding | Funding - Augmentation,Therese Kucera,Angelos Vourlidas,,2020-04-14,2016-04-15,UNSOLICITED,Cancelled
nasa-public,grants,NNX16AG87G_S001,,[-9223372036854775808],STIRRING CORONAL SPAGHETTI: DETERMINING THE IMPORTANCE OF JET-LIKE AND FILAMENTARY DENSITY FLUCTUATIONS IN ACCELERATING THE SOLAR WIND,HQ,UNIVERSITY OF COLORADO - BOULDER,,NNX16AG87G S001,Administrative | Administrative - 1st No Cost Extension,ARIK POSNER,Steven Cranmer,,2020-04-30,2016-05-01,HELIOPHYSICS SUPPORTING RESEARCH,Cancelled
nasa-public,grants,80NSSC18K0754_P00001,,[-9223372036854775808],LOCAL PHYSICS CONTROL OF THE X-LINE ORIENTATION AT EARTH'S MAGNETOPAUSE,HQ,Dartmouth College,4200664852,80NSSC18K0754 P00001,Distribution,ARIK POSNER,YI-HSIN LIU,,2020-04-30,2018-05-01,Heliophysics Supporting Research,Cancelled
nasa-public,grants,NNX15AK12A,,[1437004800000],ORACLES (OBSERVATIONS OF AEROSOLS ABOVE CLOUDS AND THEIR INTERACTIONS) SCIENCE-ENABLING FUNCTIONS,ARC,BAY AREA ENVIRONMENTAL RESEARCH INSTITUTE,4200550042,NNX15AK12A,Base Award,Bernadette Luna,ROBERT BERGSTROM,2015-07-16,2020-04-30,2015-05-01,EARTH VENTURE SUBORBITAL-2,Cancelled
nasa-public,grants,NNX14AG36A,,[1398384000000],FINESSE FIELD INVESTIGATIONS TO ENABLE SOLAR SYSTEM SCIENCE AND EXPLORATION: GEOCHRONOLOGY STUDIES,ARC,ARIZONA STATE UNIVERSITY,4200508226,NNX14AG36A,Base Award,Jennifer Heldmann,Kip Hodges,2014-04-25,2020-04-30,2014-05-01,SOLAR SYSTEM EXPLORATION RESEARCH VIRTUAL INSTITUTE,Cancelled
nasa-public,grants,80NSSC19K0725,,[-9223372036854775808],Enhanced Stellar Positioning System,MSFC,Texas A&M University College Station,4200691302,80NSSC19K0725,Resolve/FPDS-NG,EVAN ANZALONE,DANIELE MORTARI,,2020-04-30,2019-05-01,UNSOLICITED,Cancelled
nasa-public,grants,80NSSC20K0535_P00002,,[-9223372036854775808],GLOBAL SIMULATIONS OF DUST-GAS DYNAMICS IN PROTOPLANETARY DISKS WITH DUST BACK REACTION,HQ,NEVADA SYSTEM OF HIGHER EDUCATION,,80NSSC20K0535 P00002,Funding |,Evan Scannapieco,Chao-Chin Yang,,2020-05-05,2020-07-01,ASTROPHYSICS THEORY PROGRAM,Cancelled
nasa-public,grants,NNX17AI74G_CANCELLED,,[-9223372036854775808],MAGNITUDE AND CONTROLS ON THE LATERAL TRANSPORT OF CARBON VIA STREAMS AND RIVERS,HQ,YALE UNIVERSITY,4200626158,NNX17AI74G CANCELLED,Funding |,Paula Bontempi,PETER RAYMOND,,2020-05-14,2017-05-15,CARBON CYCLE SCIENCE,Cancelled
nasa-public,grants,NNX17AI74G_CANCELLED_S01,,[-9223372036854775808],MAGNITUDE AND CONTROLS ON THE LATERAL TRANSPORT OF CARBON VIA STREAMS AND RIVERS,HQ,YALE UNIVERSITY,4200626158,NNX17AI74G CANCELLED S01,Distribution,Paula Bontempi,PETER RAYMOND,,2020-05-14,2017-05-15,CARBON CYCLE SCIENCE,Cancelled
nasa-public,grants,NNX15AI50G_S009,,[-9223372036854775808],VIRGINIA SPACE GRANT CONSORTIUM 2015-2018,LARC,OLD DOMINION UNIVERSITY RESEARCH FOUNDAT,,NNX15AI50G S009,Resolve/FPDS-NG,KIMBERLY M BRUSH,MARY SANDY,,2020-05-14,2015-05-15,NON-COMPETITIVE,Cancelled
nasa-public,grants,NNX15AL12A,,[1437609600000],A PROPOSAL TO OPERATE THE LUNAR AND PLANETARY INSTITUTE,HQ,UNIVERSITIES SPACE RESEARCH ASSOCIATION,4200552092,NNX15AL12A,Base Award,JONATHAN RALL,Louise Prockter,2015-07-23,2020-05-18,2015-05-19,LUNAR AND PLANETARY INSTITUTE (LPI) NASA COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,NNX17AC23G_S003,,[-9223372036854775808],PIONEERING HARD X-RAY BAND OBSERVATIONS OF YOUNG RADIO SOURCES WITH NUSTAR,GSFC,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,,NNX17AC23G S003,Administrative | Administrative - 1st No Cost Extension,CRAIG MARKWARDT,ANETA SIEMIGINOWSKA,,2020-05-20,2016-11-21,NUSTAR GUEST OBSERVER - CYCLE 2,Cancelled
nasa-public,grants,80NSSC18K0024_P00003,,[-9223372036854775808],THE CORONAL GLOBAL EVOLUTIONARY MODEL (CGEM),HQ,Lockheed Martin Corporation,,80NSSC18K0024 P00003,Package Prep,Jeff S. Morrill,MARC DEROSA,,2020-05-29,2017-11-14,LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY NASA/NSF PARTNERSHIP FOR COLLABORATIVE SPACE WEATHER MODELING,Cancelled
nasa-public,grants,NNX15AP56G_S012,,[-9223372036854775808],TEMPORAL EXPERIMENT FOR STORMS AND TROPICAL SYSTEMS DEMONSTRATION  (TEMPEST-D),GSFC,COLORADO STATE UNIVERSITY,,NNX15AP56G S012,Funding | Funding - Augmentation,ROBERT A BAUER,STEVEN REISING,,2020-05-31,2015-08-01,EARTH VENTURE INSTRUMENT - 2,Cancelled
nasa-public,grants,80NSSC18K0035_S01,,[-9223372036854775808],SiC ELECTRONICS TO ENABLE LONG-LIVED CHEMICAL SENSOR MEASUREMENTS AT THE VENUS SURFACE,HQ,MAKEL ENGINEERING INC.,,80NSSC18K0035 S01,Funding |,ADRIANA OCAMPO,DARBY MAKEL,,2020-05-31,,HOT OPERATING TEMPERATURE TECHNOLOGY,Cancelled
nasa-public,grants,NNX16AL13A_S02,,[-9223372036854775808],HELIOPHYSICS EDUCATION CONSORTIUM: THROUGH THE EYES OF NASA TO THE HEARTS AND MINDS OF THE NATION,GSFC,ASTRONOMICAL LEAGUE,,NNX16AL13A S02,Distribution,CHRISTOPHER YOUNG,AARON CLEVENSON,,2020-06-05,2016-06-06,NASA SCIENCE MISSION DIRECTORATE SCIENCE EDUCATION COOPERATIVE AGREEMENT NOTICE (CAN),Cancelled
nasa-public,grants,NNX17AL67G_cancelled,,[-9223372036854775808],3-D MAPPING OF THE GALACTIC NUCLEAR REGION,HQ,UNIVERSITY OF MASSACHUSETTS - AMHERST,,NNX17AL67G cancelled,Funding | Funding - Incremental,DOUGLAS HUDGINS,Q. DANIEL WANG,,2020-06-07,2017-06-08,ASTROPHYSICS DATA ANALYSIS,Cancelled
nasa-public,grants,80NSSC18K1049_P00002,,[-9223372036854775808],The High Resolution Mid-Infrared Spectrometer,GSFC,"UNIVERSITY OF MICHIGAN, ANN ARBOR",,80NSSC18K1049 P00002,Funding | Funding - De-Obligation,MATTHEW GREENHOUSE,EDWIN BERGIN,,2020-06-07,2018-06-08,SOFIA THIRD GENERATION SCIENCE INSTRUMENT,Cancelled
nasa-public,grants,80NSSC19K0519_CANCELLED,,[-9223372036854775808],EVALUATING RESISTIVE EXERCISE AS A LONG-TERM COUNTERMEASURE FOR SPACEFLIGHT-INDUCED BONE LOSS USING CALCIUM ISOTOPES,JSC,,,80NSSC19K0519 CANCELLED,Funding | Funding - Augmentation,Diana Risin,Stephen Romaniello,,2020-06-12,2019-02-13,Human Exploration Research Opportunities (HERO),Cancelled
nasa-public,grants,NNX15AM13A_S010,,[-9223372036854775808],CHEMICAL/PHYSICAL PROPERTIES OF MOLECULES IN LABORATORY STROSCIENCE: ASTROCHEMISTRY AND ASTROBIOLOGY,GSFC,Catholic University of America,,NNX15AM13A S010,Funding |,DAVID F. NAVA,GREGORY BREWER,,2020-06-14,2015-06-15,UNSOLICITED,Cancelled
