_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,80NSSC21M0005_P00007,,[-9223372036854775808],"STEM PATHWAYS FOR NATIVE AMERICANS: BRIDGING NATIVE KNOWLEDGE OF EARTH AND SKY WITH TRADITIONAL STEM PROGRAMMING THROUGH THE ""NATIVE EARTH | NATIVE SKY"" PROGRAM",HQ,Oklahoma State University,,80NSSC21M0005 P00007,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Lin Chambers,Kathryn Gardner-Vandy,,2025-03-21,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Work In Progress
nasa-public,grants,80NSSC21M0003_P00010,,[-9223372036854775808],PLANETARY RESOURCES AND CONTENT HEROES (REACH),HQ,UNIVERSITIES SPACE RESEARCH ASSOCIATION-2,,80NSSC21M0003 P00010,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Lin Chambers,CHRISTINE SHUPLA,,2025-03-21,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Work In Progress
nasa-public,grants,80NSSC24K0966_P00001,,[-9223372036854775808],Imagine the Future of Space,HQ,SAN DIEGO AIR & SPACE MUSEUM,,80NSSC24K0966 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Rosanna Patterson,Rebecca Gould,,2025-03-21,2024-09-03,2023 Teams Engaging Affiliated Museums and Informal Institutions (TEAMIIANCHR),Work In Progress
nasa-public,grants,80NSSC24K0840_P00001,,[-9223372036854775808],Empowering Undergraduates: Developing Passive Self-Healing Sensors to Detect Micrometeorites,HQ,Embry-Riddle Aeronautical University,,80NSSC24K0840 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Margaret Yancey,Foram Madiyar,,2025-03-21,2024-03-20,F.22 Research Initiation Awards,Work In Progress
nasa-public,grants,80NSSC24K1845_P00003,,[-9223372036854775808],NSBP/NSHP: Joint Annual Conference,HQ,"National Society Of Black Physicists, Inc",,80NSSC24K1845 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Kathleen Vander Kaaden,Willie Rockward,,2025-03-21,2024-10-15,"""Topical Workshops, Symposiums, and Conferences (TWSC-24) in Space and Earth Sciences and Technology""",Work In Progress
nasa-public,grants,80NSSC23K0309_P00005,,[-9223372036854775808],"I.C.E. C.R.E.A.M.: Integrating Communication of ECOSTRESS into Community Research, Education, Applications, and Media",HQ,CHAPMAN UNIVERSITY,,80NSSC23K0309 P00005,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Keith Gaddis,Joshua Fisher,,2025-03-21,2023-01-01,A.33 ECOSTRESS Science and Applications Team,Work In Progress
nasa-public,grants,80NSSC24K1612_P00001,,[1742515200000],Climate Harmony: Studying and Informing Urban Climate Efforts in Central Texas through the Development of a Regional Climate Atlas,HQ,"University of Texas, Austin-1",,80NSSC24K1612 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Yaitza Luna-Cruz,Dev Niyogi,2025-03-21,2025-03-21,2024-08-16,F.5 Future Investigators in NASA Earth and Space Science and Technology,Approved/ Awarded
nasa-public,grants,80NSSC24K0176_P00003,,[1742515200000],"Democratizing data to support adaptation decision making in the North-Atlantic Coastal Plain: land subsidence, compound flooding hazard and water quality",HQ,Virginia Polytechnic Institute & State University-2,,80NSSC24K0176 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Susanna Werth,2025-03-21,2025-03-21,2023-10-25,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC24K0178_P00002,,[1742515200000],NASA Earth Observations for Resilient Salton Sea Communities,HQ,Brown University-2,,80NSSC24K0178 P00002,"Funding | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Mara Freilich,2025-03-21,2025-03-21,2023-11-01,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC24K0944_P00001,,[1742515200000],TWSC: NSBP/NSHP Student Leadership and Development Summit,HQ,NSBP,,80NSSC24K0944 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",David Smith,Willie Rockward,2025-03-21,2025-03-21,2024-04-01,"Topical Workshops, Symposiums, and Conferences (TWSC-24) in Space and Earth Sciences and Technology",Approved/ Awarded
nasa-public,grants,80NSSC23M0024_P00003,,[1744070400000],Modeling of Exoplanet Atmospheres and Climates,GSFC,American University-1,,80NSSC23M0024 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Ravi Kumar Kopparapu,Philip Johnson,2025-04-08,2025-04-08,2022-12-01,,Approved/ Awarded
