_index,_type,_id,_score,sort,_source.proposal_title,_source.pgrp_center,_source.institution_name,_source.purchase_request_number,_source.grant_number,_source.pr_task,_source.technical_representative,_source.principal_investigator,_source.award_date,_source.pop_end_date,_source.pop_start_date,_source.program_title,_source.case_state
nasa-public,grants,80NSSC21M0003_P00010,,[-9223372036854775808],PLANETARY RESOURCES AND CONTENT HEROES (REACH),HQ,UNIVERSITIES SPACE RESEARCH ASSOCIATION-2,,80NSSC21M0003 P00010,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Lin Chambers,CHRISTINE SHUPLA,,2025-03-21,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Work In Progress
nasa-public,grants,80NSSC24K0177_P00003,,[1742515200000],Resolving intra-urban variability in heat and air quality from space and the ground: leveraging diverse observations to support environmental justice,HQ,JOHNS HOPKINS UNIVERSITY,,80NSSC24K0177 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Darryn Waugh,2025-03-21,2025-03-21,2023-10-25,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC24K1845_P00003,,[-9223372036854775808],NSBP/NSHP: Joint Annual Conference,HQ,"National Society Of Black Physicists, Inc",,80NSSC24K1845 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Kathleen Vander Kaaden,Willie Rockward,,2025-03-21,2024-10-15,"""Topical Workshops, Symposiums, and Conferences (TWSC-24) in Space and Earth Sciences and Technology""",Work In Progress
nasa-public,grants,80NSSC24K0966_P00001,,[-9223372036854775808],Imagine the Future of Space,HQ,SAN DIEGO AIR & SPACE MUSEUM,,80NSSC24K0966 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Rosanna Patterson,Rebecca Gould,,2025-03-21,2024-09-03,2023 Teams Engaging Affiliated Museums and Informal Institutions (TEAMIIANCHR),Work In Progress
nasa-public,grants,80NSSC21M0005_P00007,,[-9223372036854775808],"STEM PATHWAYS FOR NATIVE AMERICANS: BRIDGING NATIVE KNOWLEDGE OF EARTH AND SKY WITH TRADITIONAL STEM PROGRAMMING THROUGH THE ""NATIVE EARTH | NATIVE SKY"" PROGRAM",HQ,Oklahoma State University,,80NSSC21M0005 P00007,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Lin Chambers,Kathryn Gardner-Vandy,,2025-03-21,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Work In Progress
nasa-public,grants,80NSSC24K0520_P00001,,[1742515200000],Assessing access to nature and their benefits in EJ communities across U.S. cities,HQ,Natural Areas Conservancy Inc,,80NSSC24K0520 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Jared Entin,Clara Pregitzer,2025-03-21,2025-03-21,2024-04-01,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC23K0309_P00005,,[-9223372036854775808],"I.C.E. C.R.E.A.M.: Integrating Communication of ECOSTRESS into Community Research, Education, Applications, and Media",HQ,CHAPMAN UNIVERSITY,,80NSSC23K0309 P00005,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Keith Gaddis,Joshua Fisher,,2025-03-21,2023-01-01,A.33 ECOSTRESS Science and Applications Team,Work In Progress
nasa-public,grants,80NSSC24K1232_P00001,,[1742515200000],"Environmental Justice & Public Health: Climate, Land, & (Health) Outcome of Dengue Fever (CLOUD)",HQ,Trustees of Tufts College -2,,80NSSC24K1232 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Jared Entin,Peilei Fan,2025-03-21,2025-03-21,2024-07-15,F.99 Principal Investigator Organization Change,Approved/ Awarded
nasa-public,grants,80NSSC24K0113_P00003,,[1742515200000],Here to Observe from UAPB,HQ,"University of Arkansas, Pine Bluff",,80NSSC24K0113 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",David Smith,RICHARD BRIAN WALKER,2025-03-21,2025-03-21,2023-10-18,C.24 Here to Observe,Approved/ Awarded
nasa-public,grants,80NSSC24K0176_P00003,,[1742515200000],"Democratizing data to support adaptation decision making in the North-Atlantic Coastal Plain: land subsidence, compound flooding hazard and water quality",HQ,Virginia Polytechnic Institute & State University-2,,80NSSC24K0176 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Susanna Werth,2025-03-21,2025-03-21,2023-10-25,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC24K0944_P00001,,[1742515200000],TWSC: NSBP/NSHP Student Leadership and Development Summit,HQ,NSBP,,80NSSC24K0944 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",David Smith,Willie Rockward,2025-03-21,2025-03-21,2024-04-01,"Topical Workshops, Symposiums, and Conferences (TWSC-24) in Space and Earth Sciences and Technology",Approved/ Awarded
nasa-public,grants,80NSSC24K1612_P00001,,[1742515200000],Climate Harmony: Studying and Informing Urban Climate Efforts in Central Texas through the Development of a Regional Climate Atlas,HQ,"University of Texas, Austin-1",,80NSSC24K1612 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Yaitza Luna-Cruz,Dev Niyogi,2025-03-21,2025-03-21,2024-08-16,F.5 Future Investigators in NASA Earth and Space Science and Technology,Approved/ Awarded
nasa-public,grants,80NSSC24K0892_P00001,,[1742515200000],Disparities in health and safety effects of dust storms in the United States,HQ,GEORGE MASON UNIVERSITY,,80NSSC24K0892 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Jared Entin,Daniel Tong,2025-03-21,2025-03-21,2024-03-29,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC25K7045_P00001,,[1742515200000],Here to Observe (H2O) + Here to Storytell (H2S),HQ,Kutztown University of Pennsylvania,,80NSSC25K7045 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",David  Smith,Erin  Kraal,2025-03-21,2025-03-21,2024-10-07,C.24 Here to Observe,Approved/ Awarded
nasa-public,grants,80NSSC25K7034_P00001,,[1742515200000],ROSES-2023Building Co-Design and Co-Learning Digital Twins against Floods on Tribal Lands in support of Indigenous Communities,HQ,UNIVERSITY OF OKLAHOMA,,80NSSC25K7034 P00001,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Chengbin Deng,2025-03-21,2025-03-21,2024-10-02,A.47 Earth Action: Community Action for Equity and Environmental Justice,Approved/ Awarded
nasa-public,grants,80NSSC24K0178_P00002,,[1742515200000],NASA Earth Observations for Resilient Salton Sea Communities,HQ,Brown University-2,,80NSSC24K0178 P00002,"Funding | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Mara Freilich,2025-03-21,2025-03-21,2023-11-01,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC24K0115_P00002,,[1742515200000],Virginia State University NASA H2O Program,HQ,VIRGINIA STATE UNIVERSITY,,80NSSC24K0115 P00002,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",David Smith,Dawit Haile,2025-03-21,2025-03-21,2023-10-18,C.24 Here to Observe,Approved/ Awarded
nasa-public,grants,80NSSC24K0114_P00002,,[1742515200000],Here to Observe (H2O) - Ohio and Puerto Rico Space Grant Consortiums,HQ,OHIO AEROSPACE INSTITUTE,,80NSSC24K0114 P00002,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",David Smith,ROBERT ROMERO,2025-03-21,2025-03-21,2023-10-18,C.24 Here to Observe,Approved/ Awarded
nasa-public,grants,80NSSC23M0024_P00003,,[1744070400000],Modeling of Exoplanet Atmospheres and Climates,GSFC,American University-1,,80NSSC23M0024 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Ravi Kumar Kopparapu,Philip Johnson,2025-04-08,2025-04-08,2022-12-01,,Approved/ Awarded
nasa-public,grants,80NSSC24K1345_P00001,,[1747180800000],Robust Optimal Control of Spacecraft Translational-Rotational Coupled Motion under Uncertainty,HQ,Purdue University,,80NSSC24K1345 P00001,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Elias Carrion,Kenshiro Oguri,2025-05-14,2025-05-07,2024-08-01,NASA Space Technology Graduate Research Opportunities ? Fall 2024 (NSTGRO24),Approved/ Awarded
nasa-public,grants,80NSSC24M0193_P00003,,[1747008000000],NASA Open Innovation Research,JSC,HARVARD UNIVERSITY,,80NSSC24M0193 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Valerie Daniel,Karim Lakhani,2025-05-12,2025-05-09,2024-08-01,,Approved/ Awarded
nasa-public,grants,80NSSC21M0002_P00010,,[1747008000000],COSMIC STORYTELLING WITH NASA DATA: TOOLS FOR EXPLORING DATA SCIENCE,HQ,The President and Fellows of Harvard College,,80NSSC21M0002 P00010,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Lin Chambers,ALYSSA GOODMAN,2025-05-12,2025-05-09,2021-01-01,E.6 SCIENCE ACTIVATION PROGRAM INTEGRATION,Approved/ Awarded
nasa-public,grants,80NSSC23K1430_P00003,,[1747008000000],Rodent Research Standard Housing Mission: Multidisciplinary Approach to Understanding Spaceflight Responses,ARC,Harvard Medical School,,80NSSC23K1430 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Rebecca Klotz,Sandeep  Datta,2025-05-12,2025-05-09,2023-09-01,,Approved/ Awarded
nasa-public,grants,80NSSC19K0748_P00006,,[1747180800000],An Analysis of LADEE UVS data for metallic species,GSFC,PINHEAD INSTITUTE,,80NSSC19K0748 P00006,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Menelaos Sarantos,Jason Cook,2025-05-14,2025-05-09,2019-05-20,UNSOLICITED,Approved/ Awarded
nasa-public,grants,80NSSC19K1666_P00002,,[1747180800000],"Rodent Hindlimb Suspension, Rodent CSF, and Direct ICP & Biomarkers",JSC,,,80NSSC19K1666 P00002,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Mary Kirby,Susana Zanello,2025-05-14,2025-05-09,2019-09-03,International Life Sciences Research Announcement,Approved/ Awarded
nasa-public,grants,80NSSC25K7029_P00002,,[1747180800000],Project GREEN: Greenspace and Remote Sensing for the Environment and Equity in Neighborhoods,HQ,Research Triangle Institute,,80NSSC25K7029 P00002,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Michelle Hawkins Aguilar,Nicholas  Kruskamp,2025-05-14,2025-05-09,2024-10-04,A.47 Earth Action: Community Action for Equity and Environmental Justice,Approved/ Awarded
nasa-public,grants,80NSSC23M0020_P00004,,[1747180800000],Three-Dimensional Modeling of Observable Terrestrial Worlds,GSFC,Blue Marble Space Institute of Science,,80NSSC23M0020 P00004,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Ravi Kumar Kopparapu,JACOB HAQQ-MISRA,2025-05-14,2025-05-09,2023-01-01,,Approved/ Awarded
nasa-public,grants,80NSSC25K7036_P00002,,[1747180800000],"""Building Capacity for Resiliency, Education, and Environmental Justice across the Changing Indigenous Landscapes of Virginia""",HQ,University Of Richmond,,80NSSC25K7036 P00002,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Michelle Hawkins Aguilar,David  Salisbury,2025-05-14,2025-05-10,2024-10-04,A.47 Earth Action: Community Action for Equity and Environmental Justice,Approved/ Awarded
nasa-public,grants,80NSSC25K7030_P00002,,[1747180800000],CIELO: Chicago's Initiative for Environmental Justice and Light Pollution Outreach,HQ,"University Of Texas Health Science Center At Houston, The",,80NSSC25K7030 P00002,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Qian Xiao,2025-05-14,2025-05-10,2024-10-04,A.47 Earth Action: Community Action for Equity and Environmental Justice,Approved/ Awarded
nasa-public,grants,80NSSC25K7032_P00002,,[1747180800000],Advancing Environmental Justice in Atlanta through GIS-Enabled Community Engagement,HQ,Emory University,,80NSSC25K7032 P00002,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Christine Ekenga,2025-05-14,2025-05-10,2024-10-04,A.47 Earth Action: Community Action for Equity and Environmental Justice,Approved/ Awarded
nasa-public,grants,80NSSC23K1175_P00002,,[1748822400000],Low Preload Ice Anchoring Grippers for Icy Worlds Mobility,HQ,University of California at Berkeley-1,,80NSSC23K1175 P00002,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Elias Carrion,Hannah Stuart,2025-06-02,2025-05-31,2023-08-15,NASA Space Technology Graduate Research Opportunities ? Fall 2023 (NSTGRO23),Approved/ Awarded
nasa-public,grants,80NSSC25K7031_P00002,,[1749168000000],Integrating Earth Observations Toward Advancing Equitable Resilience to Geohazards in a Changing Climate,HQ,Tufts College Inc,,80NSSC25K7031 P00002,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Michelle Hawkins Aguilar,Farshid  Vahedifard,2025-06-06,2025-06-06,2024-10-04,A.47 Earth Action: Community Action for Equity and Environmental Justice,Approved/ Awarded
nasa-public,grants,80NSSC21K1288_P00005,,[1749686400000],ADVANCING MICROWAVE KINETIC INDUCTANCE TECHNOLOGY FOR COSMOLOGY AND ASTROPHYSICS APPLICATIONS,HQ,Cornell University,,80NSSC21K1288 P00005,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Elias Carrion,MICHAEL NIEMACK,2025-06-12,2025-06-30,2021-08-16,NASA SPACE TECHNOLOGY GRADUATE RESEARCH OPPORTUNITIES - FALL 2021 (NSTGRO21),Approved/ Awarded
nasa-public,grants,80NSSC24K0503_P00003,,[1752624000000],"Assessing environmental justice, air quality, and health co-benefits of transport interventions in U.S. urban areas",HQ,"George Washington University, The",,80NSSC24K0503 P00003,"Administrative | Administrative - Decrease, Administrative - Change Pop End Date",Jared Entin,Gaige Kerr,2025-07-16,2025-07-11,2024-03-15,A.28 Interdisciplinary Research in Earth Science,Approved/ Awarded
nasa-public,grants,80NSSC23M0125_P00002,,[1749427200000],Soar with Salem: a comprehensive program to inspire women and girls to become the next generation of STEM professionals.,LARC,Salem Academy and College,,80NSSC23M0125 P00002,"Administrative | Administrative - Change Pop End Date, Administrative - Decrease",Bonnie Murray,Rebecca  Dunn,2025-06-09,2025-07-31,2023-08-01,MUREP Women's Colleges and Universities (MUREP WCU),Approved/ Awarded
