Award ID,source_type,recipient,value,savings,status,source_url,description,agency,claim_date,action_date,detection_basis,detection_method
80ARC023CA004,Contract,"TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK, THE",,,,,TERMINATION FOR CONVENIENCE - CONTRACT TO EXTEND LONGEVITY OF 3D TISSUES AND MICROPHYSIOLOGICAL SYSTEMS FOR MODELING OF ACUTE AND CHRONIC EXPOSURES TO STRESSORS IN SUPPORT OF HQ/SMD.,National Aeronautics and Space Administration,,2025-03-21,evidence,description_keyword
80GSFC22CA021,Contract,"NEWTON, L.L.C.",,,,,"TERMINATION FOR CONVENIENCE AGREEMENT - CAPTURE, CONTAINMENT RETURN SYSTEM (CCRS) CAPTURE LID MECHANISM (CLM)",National Aeronautics and Space Administration,,2025-06-17,evidence,description_keyword
80GSFC23CA005,Contract,SOUTHWEST RESEARCH INSTITUTE,,,,,COMPLETE TERMINATION FOR CONVENIENCE OF NASA GEOSPACE DYNAMICS CONSTELLATION (GDC) COMPREHENSIVE AURORAL PRECIPITATION EXPERIMENT (CAPE),National Aeronautics and Space Administration,,2025-09-11,evidence,description_keyword
80GSFC23PA006,Contract,"MALIN SPACE SCIENCE SYSTEMS, INC.",,,,,"TERMINATION FOR CONVENIENCE AGREEMENT - MARS SAMPLE RETURN CAMPAIGN CAPTURE, CONTAINMENT, AND RETURN SAMPLE (CCRS) CAMERA",National Aeronautics and Space Administration,,2025-06-18,evidence,description_keyword
80HQTR21F0124,Contract,"OVERLOOK SYSTEMS TECHNOLOGIES, INC.",,,,,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - POLICY AND STRATEGIC COMMUNICATIONS (PSC) SUPPORT FOR NASA SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM.,National Aeronautics and Space Administration,,2025-03-17,evidence,description_keyword
80HQTR23FA044,Contract,"CHENEGA GLOBAL PROTECTION, LLC",,,,,TERMINATION FOR CONVENIENCE AGREEMENT- EARTH INFORMATION CENTER (EIC) SUPPORT FOR NASA OFFICE OF PROTECTIVE SERVICES,National Aeronautics and Space Administration,,2025-02-27,evidence,description_keyword
80HQTR24F0046,Contract,BARRIOS TECHNOLOGY LTD,,,,,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - STRATEGIC PLANNING, ANALYSIS, AND PROGRAMMATIC SUPPORT FOR.PLANETARY SCIENCES DIVISION.HQ SCIENCE MISSION DIRECTORATE",National Aeronautics and Space Administration,,2025-03-13,evidence,description_keyword
80HQTR24F0064,Contract,BARRIOS TECHNOLOGY LTD,,,,,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - MSD RISK MANAGEMENT,National Aeronautics and Space Administration,,2025-03-21,evidence,description_keyword
80HQTR24F0070,Contract,BARRIOS TECHNOLOGY LTD,,,,,"STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE- ODEO MISSION SUPPORT ENTERPRISE OFFICES.  SUPPORTING THE CIVIL RIGHTS COMPLAINT PROCESS, ADJUDICATION PROCEDURES, COMPLIANCE ACTIVITIES, A CIVIL RIGHTS COMPLIANCE.",National Aeronautics and Space Administration,,2025-03-13,evidence,description_keyword
80HQTR24F0071,Contract,BARRIOS TECHNOLOGY LTD,,,,,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE-ODEO MISSION SUPPORT ENTERPRISE OFFICES. ..LEVERAGING THE EXPERTISE OF AN ..ADMINISTRATIVE OPERATIONS SPECIALIST.,National Aeronautics and Space Administration,,2025-03-13,evidence,description_keyword
