Award ID,source_type,recipient,value,savings,status,source_url,description,agency,claim_date
80JSC024FA083,Contract,BOOZ ALLEN HAMILTON INC,-1384035.00,,Terminate-for-convenience action P00002 on 2025-01-24; Termination-language transaction P00002 on 2025-01-24; End date truncated 221 days by mod P00002 on 2025-01-24,https://www.usaspending.gov/award/CONT_AWD_80JSC024FA083_8000_80JSC023AA001_8000/,TERMINATION FOR CONVENIENCE AGREEMENT - SPEACII - TASK ORDER 84 - NASA ODEO DEIA DATA ANALYTICS AND ASSESSMENT,NASA,
80JSC024FA135,Contract,BOOZ ALLEN HAMILTON INC,0.00,,Terminate-for-convenience action P00002 on 2025-01-27; Termination-language transaction P00002 on 2025-01-27,https://www.usaspending.gov/award/CONT_AWD_80JSC024FA135_8000_80JSC023AA001_8000/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE TERMINATED IAW EO 14151-STRATEGIC PROFESSIONAL ENGINEERING ASSESSMENT CONTRACT II (SPEAC II),NASA,
80NSSC24PA590,Contract,"ELI GROUP, LLC",0.00,,Terminate-for-convenience action P00001 on 2025-01-31; Termination-language transaction P00001 on 2025-01-31,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA590_8000_-NONE-_-NONE-/,STOP WORK NOTICE ISSUED WITH NOTIFICATION OF INTENT TO TERMINATE FOR CONVENIENCE - 2024 LEADERSHIP LAB FOR WOMEN,NASA,
80NSSC24PA723,Contract,"POLITICO, LLC",0.00,,Terminate-for-convenience action P00001 on 2025-02-18; Termination-language transaction P00001 on 2025-02-18,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA723_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - RENEWAL FOR POLITICO PRO SERVICE FOR OLIA,NASA,
80NSSC24PA609,Contract,"POLITICO, LLC",0.00,,Terminate-for-convenience action P00001 on 2025-02-18; Termination-language transaction P00001 on 2025-02-18,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PA609_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - POLITICO PRO AGREEMENT FOR OCFO,NASA,
80NSSC24PC331,Contract,"ELI GROUP, LLC",0.00,,Terminate-for-convenience action P00001 on 2025-02-19; Termination-language transaction P00001 on 2025-02-19,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC331_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - EXECUTIVE LEADERSHIP IMPACT,NASA,
80NSSC23FA279,Contract,CREATIVE SOLUTIONS INTERNATIONAL COPORATION,-6154.45,,Terminate-for-convenience action P00003 on 2025-02-20; Termination-language transaction P00003 on 2025-02-20; End date truncated 222 days by mod P00003 on 2025-02-20,https://www.usaspending.gov/award/CONT_AWD_80NSSC23FA279_8000_GS10F0331M_4730/,TERMINATION FOR CONVENIENCE AGREEMENT - CREATIVE SOLUTIONS CONSULTING SERVICES (DEBORAH KLOTZ) IN SUPPORT OF THE OCIO TRANSFORMATION PROJECT.,NASA,
80TECH25PA010,Contract,BRUKER SCIENTIFIC LLC,-368683.92,,Terminate-for-convenience action P00001 on 2025-02-26,https://www.usaspending.gov/award/CONT_AWD_80TECH25PA010_8000_-NONE-_-NONE-/,VERTEX 80V SPECTROMETER,NASA,
80HQTR23FA044,Contract,"CHENEGA GLOBAL PROTECTION, LLC",-136103.40,,Terminate-for-convenience action P00005 on 2025-02-27; Termination-language transaction P00005 on 2025-02-27; End date truncated 365 days by mod P00005 on 2025-02-27,https://www.usaspending.gov/award/CONT_AWD_80HQTR23FA044_8000_80GSFC23DA004_8000/,TERMINATION FOR CONVENIENCE AGREEMENT- EARTH INFORMATION CENTER (EIC) SUPPORT FOR NASA OFFICE OF PROTECTIVE SERVICES,NASA,
80NSSC23PB368,Contract,PACIFIC RESEARCH & EVALUATION LLC,0.00,,Terminate-for-convenience action P00001 on 2025-03-06; Termination-language transaction P00001 on 2025-03-06,https://www.usaspending.gov/award/CONT_AWD_80NSSC23PB368_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT -- AUDIENCE EVALUATION OF ENGAGEMENT CONTENT AND MATERIALS,NASA,
80NSSC24PB679,Contract,"GARTNER, INC.",0.00,,Terminate-for-convenience action P00001 on 2025-03-06; Termination-language transaction P00001 on 2025-03-06; Termination-language transaction P00002 on 2025-04-30,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PB679_8000_-NONE-_-NONE-/,"TERMINATION FOR CONVENIENCE AGREEMENT --NASA HUMAN CAPITAL AND LEARNING & DEVELOPMENT ADVISORY, RESEARCH AND BENCHMARKING SERVICES.",NASA,
80NSSC24PC049,Contract,SOCIETY OF WOMEN ENGINEERS,0.00,,Terminate-for-convenience action P00002 on 2025-03-06; Termination-language transaction P00002 on 2025-03-06,https://www.usaspending.gov/award/CONT_AWD_80NSSC24PC049_8000_-NONE-_-NONE-/,TERMINATION FOR CONVENIENCE AGREEMENT - SOCIETY OF WOMEN ENGINEERS (SWE) CORPORATE PARTNERSHIP COUNCIL AND PARTICIPATION IN ASSOCIATED RECRUITING EVENTS,NASA,
80NSSC25FA034,Contract,"TECHPRIDE, INC.",-174236.00,,Terminate-for-convenience action P00002 on 2025-03-10; Termination-language transaction P00002 on 2025-03-10; End date truncated 225 days by mod P00002 on 2025-03-10,https://www.usaspending.gov/award/CONT_AWD_80NSSC25FA034_8000_47QRAA19D006N_4732/,"TERMINATION FOR CONVENIENCE AGREEMENT - CONSULTING SERVICES TO FACILITATE PROGRAM ALIGNMENT TO LONG-TERM STRATEGIC VISION, ORGANIZATIONAL DEVELOPMENT, AND SKILL BUILDING",NASA,
80HQTR21AA001,Contract,AIRBUS DS GEO INC.,0.00,,Terminate-for-convenience action P00004 on 2025-03-11,https://www.usaspending.gov/award/CONT_IDV_80HQTR21AA001_8000/,CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION PROGRAM (CSDAP)THE CONTRACTOR SHALL BE RESPONSIBLE FOR DELIVERY OF A COMPREHENSIVE CATALOGUE OF THE SYNTHETIC APERTURE RADAR (SAR) EARTH OBSERVATION DATA PRODUCTS.,NASA,
80HQTR23AA002,Contract,CAPELLA SPACE CORPORATION,0.00,,Legal-contract-cancellation action P00005 on 2025-03-11; Termination-language transaction P00005 on 2025-03-11,https://www.usaspending.gov/award/CONT_IDV_80HQTR23AA002_8000/,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLEST DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,NASA,
80HQTR23AA003,Contract,"ICEYE US, INC",0.00,,Legal-contract-cancellation action P00003 on 2025-03-11; Termination-language transaction P00003 on 2025-03-11,https://www.usaspending.gov/award/CONT_IDV_80HQTR23AA003_8000/,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,NASA,
80HQTR22AA009,Contract,GHGSAT INCORPORATED,0.00,,Terminate-for-convenience action P00003 on 2025-03-11,https://www.usaspending.gov/award/CONT_IDV_80HQTR22AA009_8000/,CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,NASA,
80HQTR23AA001,Contract,"GEOOPTICS, INC.",0.00,,Legal-contract-cancellation action P00006 on 2025-03-11; Termination-language transaction P00006 on 2025-03-11,https://www.usaspending.gov/award/CONT_IDV_80HQTR23AA001_8000/,LEGAL CONTRACT CANCELLATION - NO LONGER REQUIRED COMMERCIAL SMALLSAT DATA ACQUISITION (CSDA) PROGRAM - EARTH SCIENCES DIVISION,NASA,
