claim_type,doge_award_id,recipient,doge_value,doge_savings,doge_claim_date,doge_status,source_url,usaspending_found,generated_award_id,award_type,award_type_code,has_explicit_termination,termination_vacated,latest_action_date,latest_action_type,latest_description,current_obligation,current_end_date,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_potential_value,checked_date
contract,80NSSC25K7031,TRUSTEES OF TUFTS COLLEGE,911540,604288,2025-09-18,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25K7031&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,ASST_NON_80NSSC25K7031_080,grant,04,true,false,2026-05-11,D,Integrating Earth observations toward advancing equitable resilience to geohazards in a changing climate,149834.25,2025-06-06,169 HOLLAND ST,,SOMERVILLE,MA,02144,07,SOMERVILLE,MA,02144,07,,2026-08-20
grant,,GEORGE WASHINGTON UNIVERSITY (THE),1174329,366992,2025-07-16,,,false,,,,false,false,,,,,,,,,,,,,,,,,2026-09-06
contract,80LARC24F0039,THE AEROSPACE CORPORATION,162533,162533,2025-07-01,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80LARC24F0039&modNumber=P00001&idvAgencyID=&idvPIID=80GSFC19D0011&contractType=AWARD,true,CONT_AWD_80LARC24F0039_8000_80GSFC19D0011_8000,contract,C,true,false,2026-03-17,M,Termination for convenience agreement - NASA engineering and safety center'S (NESC) team to guise future human-rated spacecraft providers on designing and verifying a spacecraft fire system.,0.00,2025-04-15,2310 EAST EL SEGUNDO BLVD,,EL SEGUNDO,CA,90245,36,EL SEGUNDO,CA,90245,36,0.00,2026-08-20
contract,80NSSC25FA315,"NATIONAL QUALITY ASSURANCE - U.S.A., INC.",28832,28832,2025-06-30,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC25FA315&modNumber=P00001&idvAgencyID=&idvPIID=80NSSC24AA005&contractType=AWARD,true,CONT_AWD_80NSSC25FA315_8000_80NSSC24AA005_8000,contract,A,true,false,2025-05-05,F,Termination for convenience-as9100 audit at AFRC'S NASA facility,0.00,2025-05-08,289 GREAT RD,STE 105,ACTON,MA,01720,03,ACTON,MA,01720,03,0.00,2026-08-20
contract,80NSSC24PC475,ZUKEN USA INC,44325,44325,2025-06-27,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80NSSC24PC475&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,true,CONT_AWD_80NSSC24PC475_8000_-NONE-_-NONE-,contract,B,true,false,2025-04-08,F,Termination for convenience agreement - zuken ds.e3 license data and configuration management pop: 10/1/24 - 9/30/25,0.00,2025-04-08,238 LITTLETON RD STE 100,,WESTFORD,MA,01886,03,WESTFORD,MA,01886,03,0.00,2026-08-20
grant,,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,276651,0,2025-06-20,,,false,,,,false,false,,,,,,,,,,,,,,,,,2026-09-06
grant,,TRUSTEES OF TUFTS COLLEGE,911540,604288,2025-06-06,,,false,,,,false,false,,,,,,,,,,,,,,,,,2026-09-06
contract,80LARC25F7003,THE AEROSPACE CORPORATION,42518,42518,2025-05-15,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8000&PIID=80LARC25F7003&modNumber=P00001&idvAgencyID=&idvPIID=80GSFC19D0011&contractType=AWARD,true,CONT_AWD_80LARC25F7003_8000_80GSFC19D0011_8000,contract,C,true,false,2026-03-17,M,Termination for convenience agreement- NASA engineering and safety center'S (NESC) environmental control and life support (ECLSS) Technical Discipline Team (TDT).,0.00,2025-04-15,2310 EAST EL SEGUNDO BLVD,,EL SEGUNDO,CA,90245,36,EL SEGUNDO,CA,90245,36,0.00,2026-08-20
grant,80NSSC24K0913,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,40875,0,2025-05-14,,https://usaspending.gov/award/ASST_NON_80NSSC24K0913_8000,true,ASST_NON_80NSSC24K0913_080,grant,04,true,false,2026-04-30,D,21-eej21-0049 using NASA Earth observations to support environmental justice communities in atlanta georgia,40652.80,2025-05-10,7000 FANNIN ST FL 9,,HOUSTON,TX,77030,18,HOUSTON,TX,77030,18,,2026-08-20
grant,80NSSC25K7029,RESEARCH TRIANGLE INSTITUTE,237796,0,2025-05-14,,https://usaspending.gov/award/ASST_NON_80NSSC25K7029_8000,true,ASST_NON_80NSSC25K7029_080,grant,04,true,false,2026-05-04,D,Project green: greenspace and remote sensing for the environment and equity in neighborhoods.,15620.96,2025-05-09,3040 CORNWALLIS RD,,RESEARCH TRIANGLE PARK,NC,27709,04,RESEARCH TRIANGLE PARK,NC,27709,04,,2026-08-20
