award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,pop_city,pop_state,pop_zip,detected_by,sources,override_status
CONT_AWD_80NSSC25FA473_8000_80NSSC22DA003_8000,80NSSC25FA473,CONT_AWD_80NSSC25FA473_8000_80NSSC22DA003_8000,contract,"Castro & Company, LLC",2026-08-11,F,P00001,-40647.00,The purpose Of task order #74 is to acquire contract audit support services in support Of the NASA headquarters office Of procurement in accordance with the attached Statement Of Work (SOW).,THE PURPOSE OF TASK ORDER #74 IS TO ACQUIRE CONTRACT AUDIT SUPPORT SERVICES IN SUPPORT OF THE NASA HEADQUARTERS OFFICE OF PROCUREMENT IN ACCORDANCE WITH THE ATTACHED STATEMENT OF WORK (SOW).,1635 KING ST,,ALEXANDRIA,VA,22314,ALEXANDRIA,VA,22314,action_code,api,
CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,80NSSC26P0662,CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,contract,Xenturis LLC,2026-08-11,F,P00002,0.00,Marotta controls proposal #46059 for mv524lt & mv172 part numbers 284752-9_23 & 285234-9_21.,MAROTTA CONTROLS PROPOSAL #46059 FOR MV524LT & MV172 PART NUMBERS 284752-9_23 & 285234-9_21.,3010 SANTA FE CT,,MISSOULA,MT,59808,MISSOULA,MT,59808,action_code,api,
CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,NNG09FA40C,CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,contract,Lockheed Martin Corporation,2026-08-03,F,117,0.00,"The purpose of this modification is to finalize the partial termination settlement and reduce the contract value accordingly. The Interface Region Imaging Spectrograph (IRIS) is a NASA small explorer mission that observes the sun'S chromosphere and transition Region, also known as the Interface Region. Iris is designed to study how energy and plasma move within this Region, which helps us understand how the sun'S corona is heated and how solar activity impacts Earth'S space environment. This mission fills a crucial gap in our ability to advance sun-earth connection studies by tracing the flow of energy and plasma into the corona and heliosphere for which no suitable observations exist.","INTERFACE REGION IMAGING SPECTROGRAPH (IRIS). THE CONTRACTOR SHALL REFINE AND EVOLVE THE CONTRACTOR'S COST ESTIMATE FOR PHASES B-F FOR THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) MISSION SUBMITTED IN RESPONSE TO NASA ANNOUNCEMENT OF OPPORTUNITY #NNH07ZDA003O FOR THE EXPLORERS PROJECTS DIVISION. THE PRIMARY TASKS IN PHASE B WILL INCLUDE THE GENERATION AND PRESENTATION OF THE SYSTEMS REQUIREMENTS REVIEW (SRR) AND THE PRELIMINARY DESIGN REVIEW (PDR). IN ORDER TO SUPPORT THESE REVIEWS, THE CONCEPT DEFINITION EFFORTS SHALL ENCOMPASS THE WORK REQUIRED TO UPDATE AND REFINE THE PROPOSAL'S SCIENCE INVESTIGATION OBJECTIVES AND PLANS (IF NECESSARY), INSTRUMENT AND SPACECRAFT CONCEPTS AND PERFORMANCE CHARACTERISTICS, AND SCIENCE OPERATIONS AND FLIGHT OPERATIONS PLANS AND CONCEPTS. THESE EFFORTS SHALL IDENTIFY THE CONDITIONS AND CONSTRAINTS NECESSARY FOR THE DEVELOPMENT OF AN INTEGRATED IRIS MISSION APPROACH. THE CONTRACTOR'S MISSION INTEGRATION EFFORTS SHALL INCLUDE CONSIDERATIONS FOR THE ACCOMMODATION OF THE IRIS OBSERVATORY ONTO THE LAUNCH VEHICLE. THE CONTRACTOR'S PHASE B PRELIMINARY DESIGN EFFORTS SHALL DEVELOP THE CSR AND SITE VISIT CONCEPTS INTO A PRELIMINARY DESIGN AND DEFINITION OF THE IRIS MISSION, INCLUDING ITS MISSION OPERATIONS CENTER (MOC) AND SCIENCE OPERATIONS CENTER (SOC). THE PRELIMINARY DESIGN REVIEW (PDR) SHALL BE HELD IN ACCORDANCE WITH NPR 7120.5D, NPR 7123.1A, AND GSFC STD 1001B. THE CONTRACTOR'S EFFORTS IN PHASE B SHALL FORM THE BASIS FOR FINAL ATION OF THE REMAINDER OF THE IRIS DEVELOPMENT AND OPERATIONAL PHASES (C, D, E AND F). DETAILED COST AND SCHEDULE ESTIMATES SHALL BE PREPARED AND SUBMITTED DURING PHASE B, WHICH DEFINES THE CONTRACTOR'S UPDATED BUDGET FOR PHASE B AND THE PLANNED BUDGETS FOR PHASE C, D, E AND F WORK. PERIODIC TECHNICAL AND PROGRAMMATIC INTERCHANGE MEETINGS AT BOTH THE CONTRACTOR'S FACILITY AND AT GSFC SHALL BE REQUIRED TO COORDINATE EFFORTS BETWEEN THE CONTRACTOR AND THE EXPLORERS PROJECTS OFFICE. THESE MAY BE CONDUCTED AS FACE-TO-FACE MEETINGS OR TELECONFERENCES, AS REQUIRED.",3251 HANOVER ST BLDG 201,,PALO ALTO,CA,94304,PALO ALTO,CA,94304,both,api,
CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,80GSFC23CA001,CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,contract,The Trustees of Columbia University in the City of New York,2026-07-30,F,P00013,9658.99,Terminate for convenience agreement - socioeconomic data and applications center (SEDAC) smd directorate,SEDAC FACILITATES THE ANALYSIS AND PORTRAYAL OF THE HUMAN DIMENSIONS OF GLOBAL CHANGE NEEDED FOR EARTH SCIENCE RESEARCH.,"202 LOW LIBRARY 535 W 116 ST MC 4309,",,NEW YORK,NY,10027,NEW YORK,NY,10027,both,api,
CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,80GSFC23CA032,CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,contract,University of Maryland Baltimore County,2026-07-30,F,P00012,-9633.44,Geospace Dynamics Constellation (GDC) modular spectrometer for atmosphere and ionosphere characterization (MOSAIC) instrument investigation,GEOSPACE DYNAMICS CONSTELLATION (GDC) MODULAR SPECTROMETER FOR ATMOSPHERE AND IONOSPHERE CHARACTERIZATION (MOSAIC) INSTRUMENT INVESTIGATION. ORIGINAL AO NNH17ZDA004O-GDC,1000 HILLTOP CIR,,BALTIMORE,MD,21250,BALTIMORE,MD,21250,action_code,api,
CONT_AWD_80LARC21F0053_8000_80LARC20D0007_8000,80LARC21F0053,CONT_AWD_80LARC21F0053_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2026-07-10,C,P00005,-757.47,Rbi termination settlement proposal support,PROVIDE RBI TERMINATION SETTLEMENT PROPOSAL SUPPORT,9700 PATUXENT WOODS DR,,COLUMBIA,MD,21046,HAMPTON,VA,23681,description,api,
CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,80NSSC26P0502,CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,contract,Devglobal Partners LLC,2026-07-08,F,P00001,-98168.00,Facilitation and logistical coordination of the 2026 smd data repositories workshop,FACILITATION AND LOGISTICAL COORDINATION OF THE 2026 SMD DATA REPOSITORIES WORKSHOP,123 2ND AVE S,# 18STE 230,EDMONDS,WA,98020,EDMONDS,WA,98020,action_code,api,
CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,80NM0019F0075,CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,contract,California Institute of Technology,2026-06-17,M,P00009,0.00,Termination for convenience agreement - Mars to moon engineering support for xyz directorate,MONITORING PARTICULATE AIR POLLUTION AND HUMAN HEALTH IN ETHIOPIA AND SOUTH AFRICA WITH LINKAGES TO NASA'S MAIA MISSION (82-710940),4800 OAK GROVE DR,,PASADENA,CA,91109,PASADENA,CA,91109,description,api,
CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,80GRC025CA013,CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,contract,Apache Innovations Jv,2026-06-15,F,P00002,0.00,"Removal of drd iaw eo #14222 - Glenn Logistics And Metrology (GLAM) - the purpose of this contract is to provide Logistics services, stock purchases, And Metrology/calibration services to NASA GRC. Support to all directorates at NASA GRC.","THE PURPOSE OF THIS CONTRACT IS TO PROVIDE LOGISTICS SERVICES, STOCK PURCHASES, AND METROLOGY/CALIBRATION SERVICES TO NASA GRC.",320 GOLD AVE SW STE 1200,,ALBUQUERQUE,NM,87102,CLEVELAND,OH,44135,action_code,api,
CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,80NSSC26P0347,CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,contract,Minco Products Inc,2026-05-28,F,P00001,-13199.00,Purchase of customized heaters,PURCHASE OF CUSTOMIZED HEATERS,7300 COMMERCE LN NE,,MINNEAPOLIS,MN,55432,MINNEAPOLIS,MN,55432,action_code,api,
