award_key,award_id,generated_award_id,award_type,award_type_code,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_obligated,total_potential_value,detected_by,sources,override_status
CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,NNG09FA40C,CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,contract,D,LOCKHEED MARTIN CORPORATION,2026-08-03,F,117,0.00,"THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE THE PARTIAL TERMINATION SETTLEMENT AND REDUCE THE CONTRACT VALUE ACCORDINGLY. THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) IS A NASA SMALL EXPLORER MISSION THAT OBSERVES THE SUN'S CHROMOSPHERE AND TRANSITION REGION, ALSO KNOWN AS THE INTERFACE REGION. IRIS IS DESIGNED TO STUDY HOW ENERGY AND PLASMA MOVE WITHIN THIS REGION, WHICH HELPS US UNDERSTAND HOW THE SUN'S CORONA IS HEATED AND HOW SOLAR ACTIVITY IMPACTS EARTH'S SPACE ENVIRONMENT. THIS MISSION FILLS A CRUCIAL GAP IN OUR ABILITY TO ADVANCE SUN-EARTH CONNECTION STUDIES BY TRACING THE FLOW OF ENERGY AND PLASMA INTO THE CORONA AND HELIOSPHERE FOR WHICH NO SUITABLE OBSERVATIONS EXIST.","INTERFACE REGION IMAGING SPECTROGRAPH (IRIS). THE CONTRACTOR SHALL REFINE AND EVOLVE THE CONTRACTOR'S COST ESTIMATE FOR PHASES B-F FOR THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) MISSION SUBMITTED IN RESPONSE TO NASA ANNOUNCEMENT OF OPPORTUNITY #NNH07ZDA003O FOR THE EXPLORERS PROJECTS DIVISION. THE PRIMARY TASKS IN PHASE B WILL INCLUDE THE GENERATION AND PRESENTATION OF THE SYSTEMS REQUIREMENTS REVIEW (SRR) AND THE PRELIMINARY DESIGN REVIEW (PDR). IN ORDER TO SUPPORT THESE REVIEWS, THE CONCEPT DEFINITION EFFORTS SHALL ENCOMPASS THE WORK REQUIRED TO UPDATE AND REFINE THE PROPOSAL'S SCIENCE INVESTIGATION OBJECTIVES AND PLANS (IF NECESSARY), INSTRUMENT AND SPACECRAFT CONCEPTS AND PERFORMANCE CHARACTERISTICS, AND SCIENCE OPERATIONS AND FLIGHT OPERATIONS PLANS AND CONCEPTS. THESE EFFORTS SHALL IDENTIFY THE CONDITIONS AND CONSTRAINTS NECESSARY FOR THE DEVELOPMENT OF AN INTEGRATED IRIS MISSION APPROACH. THE CONTRACTOR'S MISSION INTEGRATION EFFORTS SHALL INCLUDE CONSIDERATIONS FOR THE ACCOMMODATION OF THE IRIS OBSERVATORY ONTO THE LAUNCH VEHICLE. THE CONTRACTOR'S PHASE B PRELIMINARY DESIGN EFFORTS SHALL DEVELOP THE CSR AND SITE VISIT CONCEPTS INTO A PRELIMINARY DESIGN AND DEFINITION OF THE IRIS MISSION, INCLUDING ITS MISSION OPERATIONS CENTER (MOC) AND SCIENCE OPERATIONS CENTER (SOC). THE PRELIMINARY DESIGN REVIEW (PDR) SHALL BE HELD IN ACCORDANCE WITH NPR 7120.5D, NPR 7123.1A, AND GSFC STD 1001B. THE CONTRACTOR'S EFFORTS IN PHASE B SHALL FORM THE BASIS FOR FINAL ATION OF THE REMAINDER OF THE IRIS DEVELOPMENT AND OPERATIONAL PHASES (C, D, E AND F). DETAILED COST AND SCHEDULE ESTIMATES SHALL BE PREPARED AND SUBMITTED DURING PHASE B, WHICH DEFINES THE CONTRACTOR'S UPDATED BUDGET FOR PHASE B AND THE PLANNED BUDGETS FOR PHASE C, D, E AND F WORK. PERIODIC TECHNICAL AND PROGRAMMATIC INTERCHANGE MEETINGS AT BOTH THE CONTRACTOR'S FACILITY AND AT GSFC SHALL BE REQUIRED TO COORDINATE EFFORTS BETWEEN THE CONTRACTOR AND THE EXPLORERS PROJECTS OFFICE. THESE MAY BE CONDUCTED AS FACE-TO-FACE MEETINGS OR TELECONFERENCES, AS REQUIRED.",3251 HANOVER ST BLDG 201,,PALO ALTO,CA,94304,16,PALO ALTO,CA,94304,16,194065277.28,198769611.00,both,mirror,
CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,80GSFC23CA001,CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,contract,D,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2026-07-30,F,P00013,9658.99,TERMINATE FOR CONVENIENCE AGREEMENT - SOCIOECONOMIC DATA AND APPLICATIONS CENTER (SEDAC) SMD DIRECTORATE,SEDAC FACILITATES THE ANALYSIS AND PORTRAYAL OF THE HUMAN DIMENSIONS OF GLOBAL CHANGE NEEDED FOR EARTH SCIENCE RESEARCH.,"202 LOW LIBRARY 535 W 116 ST MC 4309,",,NEW YORK,NY,10027,13,NEW YORK,NY,10027,13,8821159.89,8821159.89,both,mirror,
CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,80GSFC23CA032,CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,contract,D,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,2026-07-30,F,P00012,-9633.44,GEOSPACE DYNAMICS CONSTELLATION (GDC) MODULAR SPECTROMETER FOR ATMOSPHERE AND IONOSPHERE CHARACTERIZATION (MOSAIC) INSTRUMENT INVESTIGATION,GEOSPACE DYNAMICS CONSTELLATION (GDC) MODULAR SPECTROMETER FOR ATMOSPHERE AND IONOSPHERE CHARACTERIZATION (MOSAIC) INSTRUMENT INVESTIGATION. ORIGINAL AO NNH17ZDA004O-GDC,1000 HILLTOP CIR,,BALTIMORE,MD,21250,07,BALTIMORE,MD,21250,07,885525.56,885525.56,action_code,mirror,
CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,80NSSC26P0502,CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,contract,B,DEVGLOBAL PARTNERS LLC,2026-07-08,F,P00001,-98168.00,FACILITATION AND LOGISTICAL COORDINATION OF THE 2026 SMD DATA REPOSITORIES WORKSHOP,FACILITATION AND LOGISTICAL COORDINATION OF THE 2026 SMD DATA REPOSITORIES WORKSHOP,123 2ND AVE S,# 18STE 230,EDMONDS,WA,98020,02,EDMONDS,WA,98020,02,0.00,0.00,action_code,mirror,
CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,80NM0019F0075,CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,contract,C,CALIFORNIA INSTITUTE OF TECHNOLOGY,2026-06-17,M,P00009,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - MARS TO MOON ENGINEERING SUPPORT FOR XYZ DIRECTORATE,MONITORING PARTICULATE AIR POLLUTION AND HUMAN HEALTH IN ETHIOPIA AND SOUTH AFRICA WITH LINKAGES TO NASA'S MAIA MISSION (82-710940),4800 OAK GROVE DR,,PASADENA,CA,91109,28,PASADENA,CA,91109,28,1140711.53,1140711.53,description,mirror,
CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,80GRC025CA013,CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,contract,D,APACHE INNOVATIONS JV,2026-06-15,F,P00002,0.00,"REMOVAL OF DRD IAW EO #14222 - GLENN LOGISTICS AND METROLOGY (GLAM) - THE PURPOSE OF THIS CONTRACT IS TO PROVIDE LOGISTICS SERVICES, STOCK PURCHASES, AND METROLOGY/CALIBRATION SERVICES TO NASA GRC. SUPPORT TO ALL DIRECTORATES AT NASA GRC.","THE PURPOSE OF THIS CONTRACT IS TO PROVIDE LOGISTICS SERVICES, STOCK PURCHASES, AND METROLOGY/CALIBRATION SERVICES TO NASA GRC.",320 GOLD AVE SW STE 1200,,ALBUQUERQUE,NM,87102,01,CLEVELAND,OH,44135,11,0.00,72349033.00,action_code,mirror,
CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,80NSSC26P0347,CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,contract,B,MINCO PRODUCTS INC,2026-05-28,F,P00001,-13199.00,PURCHASE OF CUSTOMIZED HEATERS,PURCHASE OF CUSTOMIZED HEATERS,7300 COMMERCE LN NE,,MINNEAPOLIS,MN,55432,05,MINNEAPOLIS,MN,55432,05,0.00,13199.00,action_code,mirror,
CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-,80NSSC25PB270,CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-,contract,B,LINDE ADVANCED MATERIAL TECHNOLOGIES INC.,2026-05-22,F,P00001,-18775.00,"ALLOY Z, CHEM/SIZING POWDER","ALLOY Z, CHEM/SIZING POWDER",1500 POLCO ST,,INDIANAPOLIS,IN,46222,07,INDIANAPOLIS,IN,46222,07,0.00,0.00,action_code,mirror,
CONT_IDV_80NSSC24AA010_8000,80NSSC24AA010,CONT_IDV_80NSSC24AA010_8000,idv,IDV_E,"BRYCE SPACE AND TECHNOLOGY, LLC",2026-05-21,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPSS FOR NASA ADMINISTRATIVE SUITE.,THIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR NASA CHANGE MANAGEMENT SUPPORT SERVICES.,1737 KING ST STE 601,,ALEXANDRIA,VA,22314,08,,,,,0.00,15000000.00,both,mirror,
ASST_NON_80NSSC24K0113_080,80NSSC24K0113,ASST_NON_80NSSC24K0113_080,grant,04,UNIVERSITY OF ARKANSAS SYSTEM,2026-05-12,D,P00004,-149998.00,TERMINATION FOR CONVENIENCE AGREEMENT - HERE TO OBSERVE UAB SUPPORT FOR SMD/ESD,HERE TO OBSERVE FROM UAPB,1200 UNIVERSITY DR STOP 4984,,PINE BLUFF,AR,71601,04,PINE BLUFF,AR,71601,04,0.00,,description,mirror,
