award_id,generated_award_id,award_type,award_type_code,recipient_name,award_description,recipient_address1,recipient_address2,recipient_city,recipient_state,recipient_zip,recipient_district,pop_city,pop_state,pop_zip,pop_district,total_obligated,total_potential_value,original_end_date,max_end_date,current_end_date,days_shortened,last_action_date,transaction_count
80NSSC25C0059,CONT_AWD_80NSSC25C0059_8000_-NONE-_-NONE-,contract,D,CFD RESEARCH CORPORATION,PHASE II SBIR - GRIND: GENOMIC RAPID INSPECTION OF NON-ABUNDANT BACTERIA AFTER DECONTAMINATION,6820 MOQUIN DR NW,,HUNTSVILLE,AL,35806,05,HUNTSVILLE,AL,35806,05,849872.00,849872.00,2037-07-23,2037-07-23,2027-07-23,3653,2026-06-16,4
80JSC020D0017,CONT_IDV_80JSC020D0017_8000,idv,IDV_B_B,AXIOM SPACE INC,COMMERCIAL DESTINATION DEVELOPMENT IN LOW EARTH ORBIT (LEO) FREE FLYER (CDISS),1290 HERCULES AVE STE 100,,HOUSTON,TX,77058,36,,,,,95388846.00,140000000.00,2025-02-11,2035-02-11,2027-02-11,2922,2026-06-10,61
80NM0018F0614,CONT_AWD_80NM0018F0614_8000_80NM0018D0004_8000,contract,C,CALIFORNIA INSTITUTE OF TECHNOLOGY,U.S. PARTICIPATION IN RADAR FOR ICY MOON EXPLORATION (RIME) INSTRUMENT DEVELOPMENT FOR JUPITER ICY MOON EXPLORER (JUICE) 42-19087,4800 OAK GROVE DR,,PASADENA,CA,91109,28,PASADENA,CA,91109,28,22204837.00,23205976.00,2022-06-26,2036-03-30,2028-09-30,2738,2026-06-09,31
80NSSC23K1164,ASST_NON_80NSSC23K1164_080,grant,04,ARIZONA STATE UNIVERSITY,DETERMINING PHOBOS ORIGIN VIA THE OPAQUE MINERALOGY OF RETURNED SAMPLES,660 S MILL AVENUE STE 204,,TEMPE,AZ,85281,04,TEMPE,AZ,85281,04,4809.13,,2032-06-25,2032-06-25,2025-02-10,2692,2025-02-26,4
80LARC24DA009,CONT_IDV_80LARC24DA009_8000,idv,IDV_B_B,"AMENTUM TECHNOLOGY, INC.","CENTER MAINTENANCE, OPERATION, AND ENGINEERING II (CMOE II) SUPPORT SERVICES CONTRACT",600 WILLIAM NORTHERN BLVD,,TULLAHOMA,TN,37388,04,,,,,349894.00,973781846.00,2035-12-31,2035-12-31,2028-09-30,2648,2026-06-16,4
NNC15TB39T,CONT_AWD_NNC15TB39T_8000_DEAM3609GO29030_8900,contract,C,"ENERGY SYSTEMS GROUP, LLC",IGF::OT::IGF ENERGY SAVINGS PERFORMANCE UPGRADES FOR THE NASA/GLENN RESEARCH CENTER,4655 ROSEBUD LN,,NEWBURGH,IN,47630,08,CLEVELAND,OH,44135,11,19062241.69,26793734.68,2035-09-30,2037-06-30,2031-02-28,2314,2025-06-02,25
80KSC023DA010,CONT_IDV_80KSC023DA010_8000,idv,IDV_B_A,"AIR PRODUCTS AND CHEMICALS, INC",KENNEDY SPACE CENTER LIQUID HELIUM PURCHASE AND THE LEASE OF SIX LIQUID HELIUM PUMPS.,1940 AIR PRODUCTS BLVD,,ALLENTOWN,PA,18106,07,,,,,0.00,1633624481.43,2027-10-31,2032-10-31,2026-10-31,2192,2026-06-23,27
80GSFC26D0004,CONT_IDV_80GSFC26D0004_8000,idv,IDV_B_B,"VERSABILITY RESOURCES, INC.","THE CONTRACTOR SHALL PROVIDE ALL RESOURCES NECESSARY TO PERFORM FACILITIES CUSTODIAL, TRASH AND RECYCLING REMOVAL FOR WALLOPS FLIGHT FACILITY (WFF), IN ACCORDANCE WITH THE STATEMENT OF WORK AND ALL TASK ORDERS ISSUED HEREUNDER.",2520 58TH ST,,HAMPTON,VA,23661,03,,,,,975329.23,1300000.00,2031-12-31,2031-12-31,2026-07-31,1979,2026-07-27,8
NNJ15GU08A,ASST_NON_NNJ15GU08A_080,grant,05,"ALPHA SPACE TEST AND RESEARCH ALLIANCE, LLC",MATERIALS FOR ISS EXPERIMENT (MISSE-X),18050 SATURN LN STE 300,,HOUSTON,TX,77058,36,HOUSTON,TX,77058,36,6588256.00,,2024-06-30,2030-09-30,2025-07-15,1903,2025-07-14,14
80ARC024DA003,CONT_IDV_80ARC024DA003_8000,idv,IDV_B_B,"ANALYTICAL MECHANICS ASSOCIATES, INC.",AIRCRAFT AND SPACEFLIGHT SYSTEMS ENGINEERING SUPPORT SERVICES (ASSESS). FOCUSES ON RESEARCH AND TECHNOLOGY DEVELOPMENT SUPPORT AND RELATED SERVICES FOR THE EXPLORATION TECHNOLOGY AND AERONAUTICS.,21 ENTERPRISE PKWY,STE 300,HAMPTON,VA,23666,03,,,,,0.00,84096702.00,2025-08-31,2030-03-31,2025-03-31,1826,2025-03-04,5
