award_key,award_id,generated_award_id,award_type,recipient_name,action_date,action_type,modification_number,transaction_amount,transaction_description,detected_by,sources,override_status
CONT_AWD_80NSSC25FA473_8000_80NSSC22DA003_8000,80NSSC25FA473,CONT_AWD_80NSSC25FA473_8000_80NSSC22DA003_8000,contract,"Castro & Company, LLC",2026-08-11,F,P00001,-40647.00,The purpose Of task order #74 is to acquire contract audit support services in support Of the NASA headquarters office Of procurement in accordance with the attached Statement Of Work (SOW).,action_code,api,
CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,80NSSC26P0662,CONT_AWD_80NSSC26P0662_8000_-NONE-_-NONE-,contract,Xenturis LLC,2026-08-11,F,P00002,0.00,Marotta controls proposal #46059 for mv524lt & mv172 part numbers 284752-9_23 & 285234-9_21.,action_code,api,
CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,NNG09FA40C,CONT_AWD_NNG09FA40C_8000_-NONE-_-NONE-,contract,LOCKHEED MARTIN CORPORATION,2026-08-03,F,117,0.00,"THE PURPOSE OF THIS MODIFICATION IS TO FINALIZE THE PARTIAL TERMINATION SETTLEMENT AND REDUCE THE CONTRACT VALUE ACCORDINGLY. THE INTERFACE REGION IMAGING SPECTROGRAPH (IRIS) IS A NASA SMALL EXPLORER MISSION THAT OBSERVES THE SUN'S CHROMOSPHERE AND TRANSITION REGION, ALSO KNOWN AS THE INTERFACE REGION. IRIS IS DESIGNED TO STUDY HOW ENERGY AND PLASMA MOVE WITHIN THIS REGION, WHICH HELPS US UNDERSTAND HOW THE SUN'S CORONA IS HEATED AND HOW SOLAR ACTIVITY IMPACTS EARTH'S SPACE ENVIRONMENT. THIS MISSION FILLS A CRUCIAL GAP IN OUR ABILITY TO ADVANCE SUN-EARTH CONNECTION STUDIES BY TRACING THE FLOW OF ENERGY AND PLASMA INTO THE CORONA AND HELIOSPHERE FOR WHICH NO SUITABLE OBSERVATIONS EXIST.",both,api;mirror,descoped
CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,80GSFC23CA001,CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,contract,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,2026-07-30,F,P00013,9658.99,TERMINATE FOR CONVENIENCE AGREEMENT - SOCIOECONOMIC DATA AND APPLICATIONS CENTER (SEDAC) SMD DIRECTORATE,both,api;mirror,
CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,80GSFC23CA032,CONT_AWD_80GSFC23CA032_8000_-NONE-_-NONE-,contract,UNIVERSITY OF MARYLAND BALTIMORE COUNTY,2026-07-30,F,P00012,-9633.44,GEOSPACE DYNAMICS CONSTELLATION (GDC) MODULAR SPECTROMETER FOR ATMOSPHERE AND IONOSPHERE CHARACTERIZATION (MOSAIC) INSTRUMENT INVESTIGATION,action_code,api;mirror,
CONT_AWD_80LARC21F0053_8000_80LARC20D0007_8000,80LARC21F0053,CONT_AWD_80LARC21F0053_8000_80LARC20D0007_8000,contract,Cornell Technical Services LLC,2026-07-10,C,P00005,-757.47,Rbi termination settlement proposal support,description,api,
CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,80NSSC26P0502,CONT_AWD_80NSSC26P0502_8000_-NONE-_-NONE-,contract,DEVGLOBAL PARTNERS LLC,2026-07-08,F,P00001,-98168.00,FACILITATION AND LOGISTICAL COORDINATION OF THE 2026 SMD DATA REPOSITORIES WORKSHOP,action_code,api;mirror,
CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,80NM0019F0075,CONT_AWD_80NM0019F0075_8000_80NM0018D0004_8000,contract,CALIFORNIA INSTITUTE OF TECHNOLOGY,2026-06-17,M,P00009,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - MARS TO MOON ENGINEERING SUPPORT FOR XYZ DIRECTORATE,description,api;mirror,
CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,80GRC025CA013,CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,contract,APACHE INNOVATIONS JV,2026-06-15,F,P00002,0.00,"REMOVAL OF DRD IAW EO #14222 - GLENN LOGISTICS AND METROLOGY (GLAM) - THE PURPOSE OF THIS CONTRACT IS TO PROVIDE LOGISTICS SERVICES, STOCK PURCHASES, AND METROLOGY/CALIBRATION SERVICES TO NASA GRC. SUPPORT TO ALL DIRECTORATES AT NASA GRC.",action_code,api;mirror,
CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,80NSSC26P0347,CONT_AWD_80NSSC26P0347_8000_-NONE-_-NONE-,contract,MINCO PRODUCTS INC,2026-05-28,F,P00001,-13199.00,PURCHASE OF CUSTOMIZED HEATERS,action_code,api;mirror,
CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-,80NSSC25PB270,CONT_AWD_80NSSC25PB270_8000_-NONE-_-NONE-,contract,LINDE ADVANCED MATERIAL TECHNOLOGIES INC.,2026-05-22,F,P00001,-18775.00,"ALLOY Z, CHEM/SIZING POWDER",action_code,api;mirror,
CONT_IDV_80NSSC24AA010_8000,80NSSC24AA010,CONT_IDV_80NSSC24AA010_8000,idv,"BRYCE SPACE AND TECHNOLOGY, LLC",2026-05-21,F,P00004,0.00,TERMINATION FOR CONVENIENCE AGREEMENT - CHANGE MANAGEMENT SUPPORT SERVICE BPSS FOR NASA ADMINISTRATIVE SUITE.,both,api;mirror,
