Award ID,Generated Award ID,Auto Status,Confidence,Verified Date,Evidence,Signals,Termination Mod,Termination Date,Latest Mod,Latest Mod Date,Post-Term Obligations,Transaction Count,Disagrees With Human,Last Attempt Date,Last Success Date,Attempt Count,Last Error
80AFRC19F0092,CONT_AWD_80AFRC19F0092_8000_NND15AB03Z_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00001 2019-06-12); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00001 2019-06-12;term_mod=P00001;term_date=2019-06-12;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2019-06-12,P00001,2019-06-12,0.00,2,,2026-07-30,2026-07-30,0,
80AFRC25FA003,CONT_AWD_80AFRC25FA003_8000_80AFRC25DA001_8000,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2025-07-31.,term=none;end=2025-07-31;n=2,,,P00001,2025-07-30,,2,,2026-07-30,2026-07-30,0,
80ARC018F0144,CONT_AWD_80ARC018F0144_8000_80ARC018D0019_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2020-01-17); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2020-01-17;term_mod=P00003;term_date=2020-01-17;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2020-01-17,P00003,2020-01-17,0.00,4,,2026-07-30,2026-07-30,0,
80ARC020C0002,CONT_AWD_80ARC020C0002_8000_-NONE-_-NONE-,naturally_expired,low,2026-07-30,No termination action in 15 transactions; period of performance ended 2025-04-30.,term=none;end=2025-04-30;n=15,,,P00014,2025-04-14,,15,,2026-07-30,2026-07-30,0,
80ARC023CA004,CONT_AWD_80ARC023CA004_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00004 2025-03-21); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00004 2025-03-21;term_mod=P00004;term_date=2025-03-21;post_n=0;post_obl=0.00;post_pos=0;n=4,P00004,2025-03-21,P00004,2025-03-21,0.00,4,,2026-07-30,2026-07-30,0,
80ARC026F7015,CONT_AWD_80ARC026F7015_8000_80ARC020D0010_8000,naturally_expired,low,2026-07-30,No termination action in 2 transactions; period of performance ended 2026-05-02.,term=none;end=2026-05-02;n=2,,,P00001,2026-04-28,,2,,2026-07-30,2026-07-30,0,
80GRC019F0195,CONT_AWD_80GRC019F0195_8000_80GSFC19D0011_8000,naturally_expired,low,2026-07-30,No termination action in 30 transactions; period of performance ended 2025-02-28.,term=none;end=2025-02-28;n=30,,,P00029,2025-02-27,,30,,2026-07-30,2026-07-30,0,
80GRC020F0111,CONT_AWD_80GRC020F0111_8000_80GRC020D0003_8000,no_termination_signal,low,2026-07-30,No termination action found in 30 transactions.,term=none;n=30,,,P00029,2026-06-11,,30,,2026-07-30,2026-07-30,0,
80GRC020F0115,CONT_AWD_80GRC020F0115_8000_80GRC020D0003_8000,no_termination_signal,low,2026-07-30,No termination action found in 35 transactions.,term=none;n=35,,,P00034,2026-06-18,,35,,2026-07-30,2026-07-30,0,
80GRC020F0118,CONT_AWD_80GRC020F0118_8000_80GRC020D0003_8000,no_termination_signal,low,2026-07-30,No termination action found in 18 transactions.,term=none;n=18,,,P00017,2025-07-08,,18,,2026-07-30,2026-07-30,0,
80GRC020P0006,CONT_AWD_80GRC020P0006_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2020-06-05); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2020-06-05;term_mod=P00003;term_date=2020-06-05;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2020-06-05,P00003,2020-06-05,0.00,4,,2026-07-30,2026-07-30,0,
80GRC021F0111,CONT_AWD_80GRC021F0111_8000_80GRC020D0003_8000,no_termination_signal,low,2026-07-30,No termination action found in 9 transactions.,term=none;n=9,,,P00008,2026-07-20,,9,,2026-07-30,2026-07-30,0,
80GRC021F0123,CONT_AWD_80GRC021F0123_8000_NNC17BA05B_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00001 2021-09-29); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00001 2021-09-29;term_mod=P00001;term_date=2021-09-29;post_n=0;post_obl=0.00;post_pos=0;n=2,P00001,2021-09-29,P00001,2021-09-29,0.00,2,,2026-07-30,2026-07-30,0,
80GRC022AA005,CONT_IDV_80GRC022AA005_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2025-04-15;term_mod=P00002;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-04-15,P00002,2025-04-15,0.00,3,,2026-07-30,2026-07-30,0,
80GRC022AA006,CONT_IDV_80GRC022AA006_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2025-04-15;term_mod=P00002;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-04-15,P00002,2025-04-15,0.00,3,,2026-07-30,2026-07-30,0,
80GRC022AA014,CONT_IDV_80GRC022AA014_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2025-04-15;term_mod=P00003;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-04-15,P00003,2025-04-15,0.00,4,,2026-07-30,2026-07-30,0,
80GRC022AA017,CONT_IDV_80GRC022AA017_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2025-04-15;term_mod=P00003;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-04-15,P00003,2025-04-15,0.00,4,,2026-07-30,2026-07-30,0,
80GRC022AA018,CONT_IDV_80GRC022AA018_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2025-04-15;term_mod=P00003;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-04-15,P00003,2025-04-15,0.00,4,,2026-07-30,2026-07-30,0,
80GRC022AA021,CONT_IDV_80GRC022AA021_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00003 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00003 2025-04-15;term_mod=P00003;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=4,P00003,2025-04-15,P00003,2025-04-15,0.00,4,,2026-07-30,2026-07-30,0,
80GRC022AA023,CONT_IDV_80GRC022AA023_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2025-04-15;term_mod=P00002;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-04-15,P00002,2025-04-15,0.00,3,,2026-07-30,2026-07-30,0,
80GRC022AA024,CONT_IDV_80GRC022AA024_8000,still_terminated,low,2026-07-30,"Terminated for convenience (F P00002 2025-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00002 2025-04-15;term_mod=P00002;term_date=2025-04-15;post_n=0;post_obl=0.00;post_pos=0;n=3,P00002,2025-04-15,P00002,2025-04-15,0.00,3,,2026-07-30,2026-07-30,0,
80GRC022F0189,CONT_AWD_80GRC022F0189_8000_80GRC020D0003_8000,no_termination_signal,low,2026-07-30,No termination action found in 22 transactions.,term=none;n=22,,,P00021,2026-05-21,,22,,2026-07-30,2026-07-30,0,
80GRC024CA008,CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-,descoped,high,2026-07-30,Partial de-scope rather than full termination (M P00002 2025-04-08) per USAspending transactions.,term=M P00002 2025-04-08;term_mod=P00002;term_date=2025-04-08;post_n=1;post_obl=0.00;post_pos=0;n=4;descope=1,P00002,2025-04-08,P00003,2025-04-11,0.00,4,,2026-07-30,2026-07-30,0,
80GSFC21C0019,CONT_AWD_80GSFC21C0019_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00005 2024-01-22); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00005 2024-01-22;term_mod=P00005;term_date=2024-01-22;post_n=0;post_obl=0.00;post_pos=0;n=6,P00005,2024-01-22,P00005,2024-01-22,0.00,6,,2026-07-30,2026-07-30,0,
80GSFC21C0057,CONT_AWD_80GSFC21C0057_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00013 2025-08-18); no rescission, closeout, or new obligations in 1 later transactions.",term=F P00013 2025-08-18;term_mod=P00013;term_date=2025-08-18;post_n=1;post_obl=0.00;post_pos=0;n=14,P00013,2025-08-18,P00014,2025-09-04,0.00,14,,2026-07-30,2026-07-30,0,
80GSFC21M0002,ASST_NON_80GSFC21M0002_080,naturally_expired,low,2026-07-30,No termination action in 35 transactions; period of performance ended 2024-09-30.,term=none;end=2024-09-30;n=35,,,P00035,2025-03-03,,35,,2026-07-30,2026-07-30,0,
80GSFC22CA011,CONT_AWD_80GSFC22CA011_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00009 2026-01-30); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00009 2026-01-30;term_mod=P00009;term_date=2026-01-30;post_n=0;post_obl=0.00;post_pos=0;n=10,P00009,2026-01-30,P00009,2026-01-30,0.00,10,,2026-07-30,2026-07-30,0,
80GSFC22CA012,CONT_AWD_80GSFC22CA012_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00009 2026-02-12); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00009 2026-02-12;term_mod=P00009;term_date=2026-02-12;post_n=0;post_obl=0.00;post_pos=0;n=10,P00009,2026-02-12,P00009,2026-02-12,0.00,10,,2026-07-30,2026-07-30,0,
80GSFC22CA013,CONT_AWD_80GSFC22CA013_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00006 2026-02-09); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00006 2026-02-09;term_mod=P00006;term_date=2026-02-09;post_n=0;post_obl=0.00;post_pos=0;n=7,P00006,2026-02-09,P00006,2026-02-09,0.00,7,,2026-07-30,2026-07-30,0,
80GSFC22CA021,CONT_AWD_80GSFC22CA021_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00015 2025-06-17); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00015 2025-06-17;term_mod=P00015;term_date=2025-06-17;post_n=0;post_obl=0.00;post_pos=0;n=16,P00015,2025-06-17,P00015,2025-06-17,0.00,16,,2026-07-30,2026-07-30,0,
80GSFC23CA001,CONT_AWD_80GSFC23CA001_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (C P00012 2026-04-15); no rescission, closeout, or new obligations in 0 later transactions.",term=C P00012 2026-04-15;term_mod=P00012;term_date=2026-04-15;post_n=0;post_obl=0.00;post_pos=0;n=13,P00012,2026-04-15,P00012,2026-04-15,0.00,13,,2026-07-30,2026-07-30,0,
80GSFC23CA005,CONT_AWD_80GSFC23CA005_8000_-NONE-_-NONE-,still_terminated,low,2026-07-30,"Terminated for convenience (F P00006 2025-09-11); no rescission, closeout, or new obligations in 0 later transactions.",term=F P00006 2025-09-11;term_mod=P00006;term_date=2025-09-11;post_n=0;post_obl=0.00;post_pos=0;n=7,P00006,2025-09-11,P00006,2025-09-11,0.00,7,,2026-07-30,2026-07-30,0,
