Award ID,Generated Award ID,Award Category,Transaction Count,Latest Modification Number,First Action Type,First Action Type Description,First Action Date,Latest Action Type,Latest Action Type Description,Latest Action Date,Action Code Termination Modification,Action Code Termination Date,Closeout Modification Number,Closeout Action Date,Last Checked Date
80AFRC19F0092,CONT_AWD_80AFRC19F0092_8000_NND15AB03Z_8000,contract,2,P00001,,,2019-03-13,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2019-06-12,P00001,2019-06-12,,,2026-07-31
80AFRC25FA003,CONT_AWD_80AFRC25FA003_8000_80AFRC25DA001_8000,contract,2,P00001,,,2024-11-04,M,OTHER ADMINISTRATIVE ACTION,2025-07-30,,,,,2026-08-16
80ARC018F0144,CONT_AWD_80ARC018F0144_8000_80ARC018D0019_8000,contract,4,P00003,,,2018-09-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2020-01-17,P00003,2020-01-17,,,2026-07-31
80ARC020C0002,CONT_AWD_80ARC020C0002_8000_-NONE-_-NONE-,contract,15,P00014,,,2020-01-13,M,OTHER ADMINISTRATIVE ACTION,2025-04-14,,,,,2026-08-16
80ARC023CA004,CONT_AWD_80ARC023CA004_8000_-NONE-_-NONE-,contract,4,P00004,,,2022-11-01,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-03-21,P00004,2025-03-21,,,2026-08-16
80ARC026F7015,CONT_AWD_80ARC026F7015_8000_80ARC020D0010_8000,contract,2,P00001,,,2026-04-08,C,FUNDING ONLY ACTION,2026-04-28,,,,,2026-08-16
80GRC019F0195,CONT_AWD_80GRC019F0195_8000_80GSFC19D0011_8000,contract,30,P00029,,,2019-09-19,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2025-02-27,,,,,2026-08-16
80GRC020F0111,CONT_AWD_80GRC020F0111_8000_80GRC020D0003_8000,contract,30,P00029,,,2020-04-01,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-06-11,,,,,2026-08-16
80GRC020F0115,CONT_AWD_80GRC020F0115_8000_80GRC020D0003_8000,contract,35,P00034,,,2020-04-23,B,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,2026-06-18,,,,,2026-08-16
80GRC020F0118,CONT_AWD_80GRC020F0118_8000_80GRC020D0003_8000,contract,18,P00017,,,2020-04-02,C,FUNDING ONLY ACTION,2025-07-08,,,,,2026-08-16
80GRC020P0006,CONT_AWD_80GRC020P0006_8000_-NONE-_-NONE-,contract,4,P00003,,,2019-12-20,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2020-06-05,P00003,2020-06-05,,,2026-07-31
80GRC021F0111,CONT_AWD_80GRC021F0111_8000_80GRC020D0003_8000,contract,9,P00008,,,2021-08-11,C,FUNDING ONLY ACTION,2026-07-20,,,,,2026-08-16
80GRC021F0123,CONT_AWD_80GRC021F0123_8000_NNC17BA05B_8000,contract,2,P00001,,,2021-07-16,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2021-09-29,P00001,2021-09-29,,,2026-07-31
80GRC022AA005,CONT_IDV_80GRC022AA005_8000,idv,3,P00002,,,2022-08-19,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2026-08-16
80GRC022AA006,CONT_IDV_80GRC022AA006_8000,idv,3,P00002,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2026-08-16
80GRC022AA014,CONT_IDV_80GRC022AA014_8000,idv,4,P00003,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2026-08-16
80GRC022AA017,CONT_IDV_80GRC022AA017_8000,idv,4,P00003,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2026-08-16
80GRC022AA018,CONT_IDV_80GRC022AA018_8000,idv,4,P00003,M,OTHER ADMINISTRATIVE ACTION,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2026-08-16
80GRC022AA021,CONT_IDV_80GRC022AA021_8000,idv,4,P00003,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00003,2025-04-15,,,2026-08-16
80GRC022AA023,CONT_IDV_80GRC022AA023_8000,idv,3,P00002,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2026-08-16
80GRC022AA024,CONT_IDV_80GRC022AA024_8000,idv,3,P00002,,,2022-08-18,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2025-04-15,P00002,2025-04-15,,,2026-08-16
80GRC022F0189,CONT_AWD_80GRC022F0189_8000_80GRC020D0003_8000,contract,22,P00021,,,2022-09-23,C,FUNDING ONLY ACTION,2026-05-21,,,,,2026-08-16
80GRC024CA008,CONT_AWD_80GRC024CA008_8000_-NONE-_-NONE-,contract,4,P00003,,,2023-10-17,M,OTHER ADMINISTRATIVE ACTION,2025-04-11,,,,,2026-08-16
80GRC025CA013,CONT_AWD_80GRC025CA013_8000_-NONE-_-NONE-,contract,3,P00002,,,2025-01-23,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-06-15,P00002,2026-06-15,,,2026-08-16
80GSFC21C0019,CONT_AWD_80GSFC21C0019_8000_-NONE-_-NONE-,contract,6,P00005,,,2021-01-26,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2024-01-22,P00005,2024-01-22,,,2026-07-31
80GSFC21C0057,CONT_AWD_80GSFC21C0057_8000_-NONE-_-NONE-,contract,14,P00014,,,2021-03-26,M,OTHER ADMINISTRATIVE ACTION,2025-09-04,P00013,2025-08-18,,,2026-08-16
80GSFC21M0002,ASST_NON_80GSFC21M0002_080,assistance,35,P00035,A,NEW,2021-03-29,D,ADJUSTMENT TO COMPLETED PROJECT,2025-03-03,,,P00035,2025-03-03,2026-07-31
80GSFC22CA011,CONT_AWD_80GSFC22CA011_8000_-NONE-_-NONE-,contract,10,P00009,,,2022-08-25,F,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2026-01-30,P00009,2026-01-30,,,2026-08-16
