Award ID,Tracking Status,Verified Date,Evidence
80HQTR24F0072,still_terminated,2026-07-29,Stop-work with intent to T4C; settlement deobligation -$13540.36 (P00002 2025-08-20 per USAspending). No subsequent activity. Termination stands; dropped because final mod lacks termination keywords.
80NSSC23K1348,still_terminated,2026-07-29,Stop-work/intent to T4C (P00002 2025-04-08) is final mod per USAspending; no resumption or new funding. Termination flag stands; drop from NPDV unexplained upstream.
80HQTR22F0076,still_terminated,2026-07-29,Formal Terminate for Convenience mod P00010 executed 2026-03-18 per USAspending; award dropped from tracking 2026-03-20 when T4C mod replaced stop-work description.
80HQTR22F0109,still_terminated,2026-07-29,Formal Terminate for Convenience mod P00005 executed 2026-03-18 per USAspending; dropped from tracking 2026-03-20.
80HQTR24F0019,still_terminated,2026-07-29,Termination settlement supplemental agreement P00003 2026-04-09 per USAspending following stop-work/T4C notice; dropped 2026-04-13.
80HQTR24F0037,still_terminated,2026-07-29,Formal Terminate for Convenience mod P00003 executed 2026-04-14 per USAspending; dropped from tracking 2026-04-16.
80NSSC21K1069,still_terminated,2026-07-29,Termination for convenience agreement P00004 2025-07-07 is final mod per USAspending; no vacatur or resumption. Drop from NPDV 2026-06-17 unexplained upstream.
80KSC020C0012,still_terminated,2026-07-29,Active stop-work extended through 2026-09-27 (P00032 2026-06-15); -$35.5M deobligated P00031 2026-03-31 per USAspending. Work stopped; dropped from tracking 2026-07-08.
80NSSC24K1264,closed_out,2026-07-29,Terminated for convenience; closeout mod P00003 (Adjustment to Completed Project -$177900.37) 2026-03-11 per USAspending superseded termination language; still terminated.
80NSSC24K0913,closed_out,2026-07-29,Terminated for convenience; closeout mod P00003 (Adjustment to Completed Project -$222.20) 2026-04-30 per USAspending; still terminated.
80NSSC22K1191,closed_out,2026-07-29,Flagged for PoP-end decrease; closeout mod P00004 (Adjustment to Completed Project -$17980.80) 2026-07-13 per USAspending; ended early and closed.
80GRC024CA008,descoped,2026-07-29,Stop-work with intent to de-scope (not terminate); final mod P00003 2025-04-11 admin action per USAspending; no termination recorded; treated as de-scope.
NNG09FA40C,descoped,2026-07-29,EO 14148 unilateral mod de-scoped/terminated only DEI work on IRIS contract; contract active with $4M+ new obligations through 2026-06-23 per USAspending.
80MSFC20C0050,descoped,2026-07-29,Stop-work with intent to de-scope (SERVIR); deobligation -$63547.48 P00012 2025-04-28 per USAspending; partial de-scope not full termination.
80NSSC22M0122,continued,2026-07-29,Award continued: +$833342 P00005 2025-05-01 and P00006 2025-09-23 per USAspending; earlier PoP-decrease flag resolved.
80NSSC24M0190,continued,2026-07-29,Award continued: +$607000 2026-04-08 and +$1000000 2026-07-06 per USAspending.
80NSSC24K0840,continued,2026-07-29,Award continued: +$153498 P00001 2025-09-12 after flag; P00002 2026-01-07 per USAspending.
